,heron_score_latest
heron_score_latest,1.0
confidence_latest,0.624210281081777
tax_payments_last_365_days,0.2473309643932467
revenue_daily_average_last_120_days,0.2372880026588678
revenue_daily_average_last_365_days,0.23666797400049944
revenue_daily_average_last_90_days,0.23046824140831437
revenue_daily_average_last_180_days,0.23027489844361249
revenue_monthly_average_last_3_calendar_months,0.21977320869553518
revenue_daily_average_last_30_days,0.21819172267407455
revenue_monthly_average_last_12_calendar_months,0.21411447150385546
revenue_profit_and_loss_last_3_calendar_months,0.21300780063440689
revenue_last_3_calendar_months,0.21269103266183534
revenue_monthly_average_last_6_calendar_months,0.2058261469054498
annualized_revenue_last_3_calendar_months,0.20487923422473056
annualized_revenue_profit_and_loss_last_3_calendar_months,0.2046472878119715
annualized_revenue_profit_and_loss_last_12_calendar_months,0.19803963894515852
annualized_revenue_last_12_calendar_months,0.19803963894515852
revenue_last_12_calendar_months,0.19803963894515847
revenue_profit_and_loss_last_12_calendar_months,0.19803963894515847
revenue_last_6_calendar_months,0.1945165450646141
revenue_profit_and_loss_last_6_calendar_months,0.1945165450646141
annualized_revenue_profit_and_loss_last_6_calendar_months,0.19027994317675653
annualized_revenue_last_6_calendar_months,0.19027994317675653
revenue_monthly_average_last_1_calendar_months,0.1853351037574552
revenue_profit_and_loss_last_1_calendar_months,0.1853319940670144
revenue_last_1_calendar_months,0.18533052991887264
gross_operating_cashflow_daily_average_last_120_days,0.1848209497956546
opex_daily_average_last_365_days,0.1741179264977134
annualized_revenue_last_1_calendar_months,0.17236987122965117
annualized_revenue_profit_and_loss_last_1_calendar_months,0.1723321356352256
gross_operating_cashflow_daily_average_last_180_days,0.16774707906933164
data_coverage_latest,0.16734172427808425
gross_operating_cashflow_daily_average_last_90_days,0.16594060497481408
opex_last_12_calendar_months,0.1647847988013614
opex_profit_and_loss_last_12_calendar_months,0.1647847988013614
opex_daily_average_last_180_days,0.1630259901359824
gross_operating_cashflow_profit_and_loss_last_3_calendar_months,0.15977269460331095
gross_operating_cashflow_last_3_calendar_months,0.15977269460331095
opex_daily_average_last_90_days,0.15814870085297236
opex_daily_average_last_120_days,0.15583943148923468
gross_operating_cashflow_daily_average_last_30_days,0.15459133776739767
opex_profit_and_loss_last_6_calendar_months,0.14843516486422803
opex_last_6_calendar_months,0.14843516486422803
tax_payment_amount_last_365_days,0.14808079506059804
gross_operating_cashflow_profit_and_loss_last_6_calendar_months,0.14723511789621854
gross_operating_cashflow_last_6_calendar_months,0.14723511789621854
opex_last_3_calendar_months,0.14509008294239745
opex_profit_and_loss_last_3_calendar_months,0.14457051018118072
gross_operating_cashflow_last_1_calendar_months,0.14042956804176443
