heron_id,metric_label,metric_date_range,metric_value
eus_ciCwj9BqFEZ42TRohXdviq,data_volume,latest,5019.0
eus_ciCwj9BqFEZ42TRohXdviq,date_range,latest,1206.0
eus_ciCwj9BqFEZ42TRohXdviq,data_freshness,latest,0.0
eus_ciCwj9BqFEZ42TRohXdviq,has_balance_ratio,latest,1.0
eus_ciCwj9BqFEZ42TRohXdviq,data_coverage,latest,0.976801988400994
eus_ciCwj9BqFEZ42TRohXdviq,accounts,latest,2.0
eus_ciCwj9BqFEZ42TRohXdviq,potentially_duplicated_account_pairs,latest,0.0
eus_ciCwj9BqFEZ42TRohXdviq,inflows,last_30_days,19.0
eus_ciCwj9BqFEZ42TRohXdviq,outflows,last_30_days,103.0
eus_ciCwj9BqFEZ42TRohXdviq,inflows,last_90_days,45.0
eus_ciCwj9BqFEZ42TRohXdviq,outflows,last_90_days,335.0
eus_ciCwj9BqFEZ42TRohXdviq,inflows,last_120_days,65.0
eus_ciCwj9BqFEZ42TRohXdviq,outflows,last_120_days,460.0
eus_ciCwj9BqFEZ42TRohXdviq,inflows,last_180_days,94.0
eus_ciCwj9BqFEZ42TRohXdviq,outflows,last_180_days,717.0
eus_ciCwj9BqFEZ42TRohXdviq,inflows,last_365_days,183.0
eus_ciCwj9BqFEZ42TRohXdviq,outflows,last_365_days,1496.0
eus_ciCwj9BqFEZ42TRohXdviq,inflow_amount,last_6_calendar_months,59549.8
eus_ciCwj9BqFEZ42TRohXdviq,revenue_anomalies,latest,2.0
eus_LoNEbmyAahYf49pye4quTt,data_volume,latest,7320.0
eus_LoNEbmyAahYf49pye4quTt,date_range,latest,2318.0
eus_LoNEbmyAahYf49pye4quTt,data_freshness,latest,0.0
eus_LoNEbmyAahYf49pye4quTt,has_balance_ratio,latest,0.3128415300546448
eus_LoNEbmyAahYf49pye4quTt,data_coverage,latest,0.6701164294954722
eus_LoNEbmyAahYf49pye4quTt,accounts,latest,1.0
eus_LoNEbmyAahYf49pye4quTt,potentially_duplicated_account_pairs,latest,0.0
eus_LoNEbmyAahYf49pye4quTt,inflows,last_30_days,55.0
eus_LoNEbmyAahYf49pye4quTt,outflows,last_30_days,26.0
eus_LoNEbmyAahYf49pye4quTt,inflows,last_90_days,167.0
eus_LoNEbmyAahYf49pye4quTt,outflows,last_90_days,86.0
eus_LoNEbmyAahYf49pye4quTt,inflows,last_120_days,220.0
eus_LoNEbmyAahYf49pye4quTt,outflows,last_120_days,113.0
eus_LoNEbmyAahYf49pye4quTt,inflows,last_180_days,315.0
eus_LoNEbmyAahYf49pye4quTt,outflows,last_180_days,165.0
eus_LoNEbmyAahYf49pye4quTt,inflows,last_365_days,691.0
eus_LoNEbmyAahYf49pye4quTt,outflows,last_365_days,347.0
eus_LoNEbmyAahYf49pye4quTt,inflow_amount,last_6_calendar_months,316444.82
eus_LoNEbmyAahYf49pye4quTt,revenue_anomalies,latest,4.0
eus_oMDiVd3FoChnTdnnSkHb62,data_volume,latest,7462.0
eus_oMDiVd3FoChnTdnnSkHb62,date_range,latest,2024.0
eus_oMDiVd3FoChnTdnnSkHb62,data_freshness,latest,0.0
