metric,high_score_count,low_score_count,high_score_mean,low_score_mean,high_score_median,low_score_median,high_score_std,low_score_std,high_score_min,low_score_min,high_score_max,low_score_max,mean_difference,median_difference,p_value,significant,abs_mean_diff
balance_minimum,1110,3890,-636252.7269,-40246571.67,2111.44,37.675,17026538.85,2475792725,-559755708.2,-1.54413E+11,861663.22,15929138.48,39610318.94,2073.765,0.318450253,FALSE,39610318.94
balance_average,1998,7002,-71643.50771,-2080583.725,18272.80303,7632.16689,3709065.169,198795047.4,-122530960.8,-13267828073,5659735.169,1434270983,2008940.217,10640.63613,0.398084192,FALSE,2008940.217
change_in_balance,666,2334,56336.22964,-1214433.101,-288.195,0,1675678.977,46795299.38,-1078110.17,-1586358940,43185147.37,277854929,1270769.33,-288.195,0.190660424,FALSE,1270769.33
weekday_balance_average,222,778,61907.07316,1063269.503,18525.46791,6841.056517,125025.9359,28466670.68,-5171.008393,-30379923.68,1035078.591,793192521,-1001362.43,11684.41139,0.326830446,FALSE,1001362.43
predicted_balance_daily_average,666,2334,853554.3227,-58618.11677,7873.375,4393.86,12233715.92,2464196.791,-26124.77,-67491219.27,182581794.5,10342680.27,912172.4395,3479.515,0.056144226,FALSE,912172.4395
net_operating_cashflow,888,3112,17622.89222,-185673.3302,8733.5,-1374.19,270461.0083,2745931.84,-3782895.47,-95463244.29,3247752.58,9029900.48,203296.2225,10107.69,4.99E-05,TRUE,203296.2225
net_operating_cashflow_profit_and_loss,888,3112,17622.89222,-185673.3302,8733.5,-1374.19,270461.0083,2745931.84,-3782895.47,-95463244.29,3247752.58,9029900.48,203296.2225,10107.69,4.99E-05,TRUE,203296.2225
annualized_revenue,888,3112,677458.5687,476584.0371,299517.2515,106886.8777,1110653.145,1355700.608,0,0,10313507.17,24156677.49,200874.5316,192630.3738,6.78E-06,TRUE,200874.5316
annualized_revenue_profit_and_loss,888,3112,677458.5677,476584.0369,299517.2515,106886.8777,1110653.145,1355700.608,0,0,10313507.17,24156677.49,200874.5308,192630.3738,6.78E-06,TRUE,200874.5308
gross_operating_cashflow_profit_and_loss,888,3112,307410.0621,185919.1032,98413.44,33474.815,654940.4117,554352.1193,-8243.51,-3880340.88,8416438.84,9288053.34,121490.9589,64938.625,5.41E-07,TRUE,121490.9589
gross_operating_cashflow,888,3112,307410.0621,185919.1032,98413.44,33474.815,654940.4117,554352.1193,-8243.51,-3880340.88,8416438.84,9288053.34,121490.9589,64938.625,5.41E-07,TRUE,121490.9589
revenue_profit_and_loss,888,3112,319732.611,220774.6921,103192.99,37654.32,689182.4005,734811.6361,0,0,9554127.53,14562046.58,98957.91881,65538.67,0.000208096,TRUE,98957.91881
revenue,888,3112,319732.6101,220774.6924,103192.99,37654.32,689182.4009,734811.636,0,0,9554127.53,14562046.58,98957.91771,65538.67,0.000208096,TRUE,98957.91771
opex_profit_and_loss,888,3112,289787.1705,371592.4336,84391.25,43286.895,649859.541,2933843.947,0,0,8239175.18,100808471.3,-81805.26312,41104.355,0.150842526,FALSE,81805.26312
opex,888,3112,289787.1719,371592.4336,84391.25,43286.895,649859.5404,2933843.947,0,0,8239175.18,100808471.3,-81805.26175,41104.355,0.150842533,FALSE,81805.26175
latest_balance,222,778,70218.18536,114351.8658,23077.98,10221.02,125698.8537,722260.1722,-60994.55,-50988.78,890063.64,18134946.17,-44133.68042,12856.96,0.105460769,FALSE,44133.68042
cogs,888,3112,12322.54855,34855.58925,572.99,144.97,56159.92433,420458.2614,0,0,1137688.69,14082378.88,-22533.0407,428.02,0.003751141,TRUE,22533.0407
cogs_profit_and_loss,888,3112,12322.54864,34855.58931,572.99,144.97,56159.92431,420458.2614,0,0,1137688.69,14082378.88,-22533.04067,428.02,0.003751141,TRUE,22533.04067
revenue_monthly_average,888,3112,56701.99176,39894.49839,25051.49667,8943.770833,93000.85108,113735.3634,0,0,869454.22,2051663.02,16807.49338,16107.72583,6.97E-06,TRUE,16807.49338
tax_payment_amount,222,778,46739.12716,30466.10298,12058,2415.975,84787.6482,113301.6129,0,0,639241.42,2243604.92,16273.02418,9642.025,0.020363419,TRUE,16273.02418
inflow_amount,222,778,427700.9444,411534.0926,193774.15,135195.01,705919.0454,1136992.503,0,0,5065400.36,19970579.71,16166.8518,58579.14,0.795984048,FALSE,16166.8518
debt_investment,1110,3890,4654.511378,11271.85941,0,0,39029.4284,104222.629,0,0,983818.82,4265000,-6617.34803,0,0.001192814,TRUE,6617.34803
debt_repayment,888,3112,28397.91945,22105.46201,1315.465,801.56,192235.9763,128561.5938,0,0,3541123.27,4253108.15,6292.457435,513.905,0.358520031,FALSE,6292.457435
atm_withdrawals,222,778,11484.40829,6026.926864,0,30.275,56182.9317,30266.19284,0,0,638664.65,474443.36,5457.481425,-30.275,0.165458669,FALSE,5457.481425
net_operating_cashflow_daily_average,1110,3890,82.1962354,-1164.25557,74.84961568,-17.58562862,1562.597193,14829.35163,-14296.03,-306345.082,11330.53767,24690.69962,1246.451806,92.43524429,2.82E-07,TRUE,1246.451806
last_debt_investment,222,778,7034.708036,5919.532474,462.83,458.245,14590.21398,12914.04769,0.000866108,0.004697948,75000,50000,1115.175561,4.585,0.303984307,FALSE,1115.175561
outflow_daily_average,222,778,-2706.02702,-3780.864093,-1177.980425,-825.4883287,4737.220402,17355.72484,-36272.16312,-296823.2255,-0.616219178,0,1074.837073,-352.4920958,0.124313585,FALSE,1074.837073
heron_score,222,778,799.6666667,26.27941777,836.5,0.548372369,130.5617056,95.27928074,503,0.000548219,985,495,773.3872489,835.9516276,1.16E-203,TRUE,773.3872489
gross_operating_cashflow_daily_average,1110,3890,1766.38797,1122.445477,753.7459583,277.8671944,2945.400676,2764.4611,-27.04661111,-10325.59304,25955.72533,41081.574,643.9424929,475.8787639,9.77E-11,TRUE,643.9424929
opex_daily_average,1110,3890,1684.191735,2286.701048,657.6033889,314.8713733,3039.784439,15996.92729,0,0,27269.54267,345146.7563,-602.5093129,342.7320156,0.026929399,TRUE,602.5093129
data_volume,222,778,5212.040541,4828.051414,3873,3099,5277.355026,5789.714352,314,226,45994,82380,383.9891267,774,0.350198082,FALSE,383.9891267
revenue_daily_average,1998,7002,1028.282054,738.5117073,100.5979817,2.895200152,2524.887626,2973.497531,0,0,30179.80633,75295.98467,289.7703463,97.70278158,1.45E-05,TRUE,289.7703463
average_credit_card_spend,888,3112,6373.832633,6104.355652,525.4391667,548.725,20834.60634,42982.79829,0,0,269017.5767,1265492.584,269.4769811,-23.28583333,0.795649556,FALSE,269.4769811
debt_service_coverage_ratio,888,3112,1.67636462,-221.4277687,0.818095388,0.39177037,205.7418692,11207.6484,-5623.435783,-621609.3846,1082.664837,18465.12,223.1041333,0.426325018,0.267157693,FALSE,223.1041333
date_range,222,778,1628.067568,1754.962725,1661,1780,577.1328336,666.6584471,797,705,4631,4664,-126.8951574,-119,0.005553895,TRUE,126.8951574
cogs_daily_average,1110,3890,84.11616767,206.4709567,3.840611111,1.241055556,349.2090233,2150.34043,0,0,5658.836667,46291.07633,-122.3547891,2.599555556,0.000691167,TRUE,122.3547891
inflow_daily_average,222,778,2372.602639,2266.018019,1110.860795,759.1850548,3816.082947,6039.302504,0.071260274,0.000657534,28308.7011,113942.7884,106.5846195,351.6757397,0.75074923,FALSE,106.5846195
last_debt_investment_days,222,778,419.1174408,318.4416808,155.5,65.5,508.9589522,483.7310433,0.005960294,0,2215,3786,100.67576,90,0.008975564,TRUE,100.67576
outflows,1110,3890,379.6459459,314.9041131,191,133,631.0735281,526.8364072,1,0,9357,8263,64.74183284,58,0.001831216,TRUE,64.74183284
negative_balance_days_by_account,1332,4668,36.15865109,70.49158759,2,9,86.4091126,614.8453657,0,0,983,39654,-34.33293651,-7,0.000226896,TRUE,34.33293651
inflows,1110,3890,161.2558559,135.1724936,77,55.5,261.0559872,285.7385352,0,0,3631,8011,26.08336228,21.5,0.00410153,TRUE,26.08336228
debt_repayment_daily_average,1110,3890,164.9647362,176.2536016,13.75679604,9.321849315,907.9702198,1938.569909,0,0,11036.25333,103485.766,-11.28886543,4.434946728,0.784798335,FALSE,11.28886543
deposit_days,1998,7002,66.31456899,55.05315816,45,34,67.16532146,59.65814689,0,0,362,363,11.26141083,11,1.54E-11,TRUE,11.26141083
tax_payments,222,778,22.79279279,11.98200514,13.5,2,28.77691292,32.93138118,0,0,211,461,10.81078765,11.5,2.51E-06,TRUE,10.81078765
negative_balance_days,1110,3890,13.87676254,24.48603904,0,0,36.43267604,50.56812933,0,0,364,357,-10.6092765,0,9.56E-15,TRUE,10.6092765
revenue_growth_rate,222,778,0.522973992,8.194603823,0.073605203,0.057330681,3.06626352,124.9510148,-1,-1,29.38657423,3265.90624,-7.671629831,0.016274523,0.087529617,FALSE,7.671629831
unconnected_account_ratio,222,778,2.858897727,5.459268502,0.034731135,0.18413554,37.68515405,74.169205,0,0,560.4762343,1656.920078,-2.600370775,-0.149404405,0.478816742,FALSE,2.600370775
debt_investment_count,222,778,1.855855856,3.09125964,0,0,7.815574249,8.683667162,0,0,100,97,-1.235403784,0,0.043513844,TRUE,1.235403784
accounts,222,778,3.5,4.539845758,2,3,3.163350649,8.214723322,1,1,18,184,-1.039845758,-1,0.004276866,TRUE,1.039845758
nsf_fees,1332,4668,2.583333333,2.974935733,0,0,13.59187647,24.16168516,0,0,248,1044,-0.391602399,0,0.445801858,FALSE,0.391602399
weekday_with_lowest_avg,222,778,2.385106954,2.120646092,2,2,1.683085306,1.646679186,0,0,6,6,0.264460862,0,0.038725698,TRUE,0.264460862
inflow_growth_rate,222,778,0.23344645,0.42127499,0.059255818,0.000541003,0.932972318,4.811318589,-0.94742869,-1,10.46754236,125.8925997,-0.18782854,0.058714814,0.306314005,FALSE,0.18782854
