heron_id,metric_label,metric_date_range,metric_value
eus_BZ9x7kz9wA3rgMkPiCCPyv,heron_score,latest,985.0
eus_8baSmLak35Gqa4RGQTNfcn,heron_score,latest,983.0
eus_hRKTf89rwsFy7wuiF27pZ7,heron_score,latest,979.0
eus_FUuVqJysK5tT8L7aqjQC3a,heron_score,latest,978.0
eus_PM45JRag65WVc9NnUeMEEC,heron_score,latest,978.0
eus_HJGYATZZwg6KqK34HNYdHm,heron_score,latest,972.0
eus_3pCSQbCdcgdC8WaP9uPXXS,heron_score,latest,972.0
eus_kh4XHSs8szR4Z2vHGE4kCM,heron_score,latest,970.0
eus_Hp8Tt8y7QXhfiG6CTSLisJ,heron_score,latest,969.0
eus_iDeP6fiwAqNAzhtu22dKyR,heron_score,latest,966.0
eus_iXzA4XybcMwAkhPjxuUfvd,heron_score,latest,964.0
eus_63yhJmaYy8AQx5g3y55ovn,heron_score,latest,963.0
eus_hLgtJp6XPKbT3cksaw92ku,heron_score,latest,961.0
eus_eKZFXiba6YV8mSMK8HUegZ,heron_score,latest,959.0
eus_VEqV9eo3iFtMsJddT2YqFg,heron_score,latest,956.0
eus_ZW5trRKsEZ5FCwQ8gXZYjD,heron_score,latest,953.0
eus_ZgonVRfP6wb5oNSN35t2ZT,heron_score,latest,952.0
eus_gtvuQcsjEiza6YUZVtNTZN,heron_score,latest,949.0
eus_ecyqE7TRsonFrVwmSekwSy,heron_score,latest,948.0
eus_No5KXUoqKrdn9U2iquWFA5,heron_score,latest,947.0
eus_CKS5uwKKZy3zRvDaCrtbAV,heron_score,latest,945.0
eus_HsQAJk6PGkoYASmGvdSrW4,heron_score,latest,945.0
eus_ciCwj9BqFEZ42TRohXdviq,heron_score,latest,945.0
eus_bAsoUyjUjHfzDzMngSUiwJ,heron_score,latest,944.0
eus_ZJ5hdiAZ5LVLkkzGFm9qwF,heron_score,latest,940.0
eus_jEUewpRiwUPfLajhYdUvMy,heron_score,latest,939.0
eus_oMDiVd3FoChnTdnnSkHb62,heron_score,latest,938.0
eus_L3VPY4dFR8abYbxZLxzDDS,heron_score,latest,937.0
eus_CCq9QoPDkELdKwb6YecxM2,heron_score,latest,936.0
eus_npjGPCReazDCwp6AQZUJYB,heron_score,latest,935.0
eus_24a8xBCmDVMNo8ueHGdFsY,heron_score,latest,934.0
eus_K2zHdPTPAserNFVdXury5X,heron_score,latest,929.0
eus_ZyRfgauiXPAhvNfwzxAiiV,heron_score,latest,928.0
eus_dK922w2njUqqdmAGC9j96o,heron_score,latest,928.0
eus_BudBwWw4ebKCQNocdhbwV8,heron_score,latest,928.0
eus_cyRqYTYLQy4kdjXSnQofPQ,heron_score,latest,928.0
eus_GBAVKL878ohDxzApaDXH2E,heron_score,latest,924.0
eus_gBCScfYPnTx8qGDDXQG2GH,heron_score,latest,922.0
eus_nDi3uyFopDMr8LbtpaHzx7,heron_score,latest,920.0
eus_mTwPjpPy5yfZ4MSbvPXsrz,heron_score,latest,920.0
eus_7aqbLgEaqMqDUPkJwtdeTq,heron_score,latest,917.0
eus_bg9bQ6DR8z4jskaj9LtUvT,heron_score,latest,917.0
eus_Ygrn9HsoNCqeaJVDVPf84m,heron_score,latest,917.0
eus_ZGMPEBHrHssfpnxQo22F2C,heron_score,latest,916.0
eus_hbsjSU9X3ycgJ9NnUKWFCt,heron_score,latest,916.0
eus_CBjSgBmrJj7FtUyzq8mFHt,heron_score,latest,916.0
eus_VX7enbhgy4kMueVgi5SnhA,heron_score,latest,915.0
eus_EMHecEKiJ6HZuWRa32B4D8,heron_score,latest,912.0
eus_KV3ESfGr5hN5PRFmKpELTk,heron_score,latest,912.0
eus_mXrfgs6FFLtgeYckTHBoGQ,heron_score,latest,911.0
eus_RAhKH5PYjzc8kfSGX4Ekrp,heron_score,latest,911.0
eus_48yUW5rvNxUgUXruN7uaVp,heron_score,latest,911.0
eus_5uhp3fzGQWKskSzKSSmcr4,heron_score,latest,910.0
eus_8GweBYTfA258CJok9UPa55,heron_score,latest,910.0
eus_UvXMoN47dWg9A7AJhKGNUp,heron_score,latest,909.0
eus_LoNEbmyAahYf49pye4quTt,heron_score,latest,908.0
eus_U7UekAovyz4YKGnhX2HaAJ,heron_score,latest,905.0
eus_oAqcdLkkV48GZgnN7FPznF,heron_score,latest,903.0
eus_nZWLwn6stAcpq2c2oHr66u,heron_score,latest,899.0
eus_Xq9h3mDXjbWMiV6e8yrA5m,heron_score,latest,898.0
eus_7iuCwkg7cW5uSewxwftatP,heron_score,latest,898.0
eus_PKGhxTvXdMAeRB4guJKnkd,heron_score,latest,896.0
eus_M4DLvsjkkcS47jJFamq9XR,heron_score,latest,895.0
eus_DnU35Rjxh6DG3wwsM3kHGQ,heron_score,latest,893.0
eus_RtV2DZscCJ2dW8j7padMZ8,heron_score,latest,892.0
eus_oY22nydVVt9AnJJdR3YYyL,heron_score,latest,891.0
eus_YSZ955Tsr94pYHvJkcvKMF,heron_score,latest,890.0
eus_Ft2vQoYruaMhMFLYtj7yXC,heron_score,latest,890.0
eus_QYVFFX22JNNvTQHU9gdUhY,heron_score,latest,890.0
eus_BDSQvH2xoXXbhW6kZh4qeh,heron_score,latest,889.0
eus_UyAtANKnET3oKAWLRy9CzM,heron_score,latest,887.0
eus_SMQLLnt5CvqgFLiUK2jn2P,heron_score,latest,887.0
eus_S6CZTSEYBiJs4z2rXDUbzV,heron_score,latest,886.0
eus_GrnwNTdYTFuX9uRFhBqWhr,heron_score,latest,886.0
eus_dJJfzkeon9aKkXq2aKDagf,heron_score,latest,886.0
eus_EhkEkQ2Nj3KQZXTLksKgKm,heron_score,latest,877.0
eus_eefoWHopEJ85UqMKb4qmm3,heron_score,latest,877.0
eus_HL3CKWAxcdPRp8dPFbD3Ui,heron_score,latest,877.0
eus_M3x3ctBvBzz3oGaAQDKsos,heron_score,latest,876.0
eus_foCZGnb3LHmWCoZR4RGFuW,heron_score,latest,876.0
eus_7wu27yLAB9rAcksUeJXi7Z,heron_score,latest,875.0
eus_hg5fuMKjYxiXyfyUcHhCXy,heron_score,latest,875.0
eus_B4CKBwb4hCLbVXbVVZXnSN,heron_score,latest,873.0
eus_nmNeVt38twbrMNDq4GPpkd,heron_score,latest,873.0
eus_Dugf5KuYhamefnwQeFedyR,heron_score,latest,873.0
eus_VtaU5FNfHMUS83AKVwEyCG,heron_score,latest,873.0
eus_8quYrGCXxNk7UfGguxWPZo,heron_score,latest,869.0
eus_m85qrXWwKcg2iArrjitCbX,heron_score,latest,868.0
eus_esQQcAHSNxMcfCpbXH5TdC,heron_score,latest,868.0
eus_PnQAcpEyxPUo63jY8rMZCG,heron_score,latest,867.0
eus_JUPJzpV3GBik744S8EfHCW,heron_score,latest,867.0
eus_kDDqT4WbQg8VeJQNv8DTAc,heron_score,latest,863.0
eus_ZzwmLf8twnD94HA5TXVGdA,heron_score,latest,862.0
eus_bUT7vbavvzsetamrb5HzUo,heron_score,latest,858.0
eus_eVDLA7QYjWcyiDEDiqZSr8,heron_score,latest,855.0
eus_DHadxekc9KrDLktWRRM3vc,heron_score,latest,852.0
eus_8Bv6MPy9qGa3Lcp5n3Gdzc,heron_score,latest,850.0
eus_Zsk2kANqHj2Xmb3aaCktSf,heron_score,latest,850.0
eus_YQjEukv8MbBELKgFGpowqW,heron_score,latest,849.0
eus_4seuBk4fsmi3oGnbVxuKuC,heron_score,latest,849.0
eus_BsFfA8EJgFA9eenhxyiHte,heron_score,latest,848.0
eus_9QfVd9HhzaWvX2K2obKBTm,heron_score,latest,846.0
eus_NWRVMnNSQgWndwsZMBUg88,heron_score,latest,845.0
eus_iL2xiCohwqnH3cxBpwfL2S,heron_score,latest,845.0
eus_9oAKMrDFQgSnCgeGmqWzyV,heron_score,latest,843.0
eus_8UYcJTaxNfpB7FgtLLGKGJ,heron_score,latest,841.0
eus_FKMxTjZZpPUT24eS2JucP3,heron_score,latest,840.0
eus_44oKovKfYcWDLGSGv9jrzJ,heron_score,latest,839.0
eus_ixWHcfSEs6vpUQia9tuoso,heron_score,latest,839.0
eus_9retrWy9oA5G7eroeiNgg6,heron_score,latest,839.0
eus_GPPShkm4hJ8UAQQNfBia5f,heron_score,latest,838.0
eus_Qho5yx7CDsqGdJdFCo5BjM,heron_score,latest,835.0
eus_WBU6UwprhbX5FJ3BoTKRCm,heron_score,latest,835.0
eus_bRXkjvrSGNiu89gXHDfn3t,heron_score,latest,833.0
eus_CQFYhtFyYPfKDBXdgX96sN,heron_score,latest,832.0
eus_6bpo8n6s7xQGgXeVeLGeQJ,heron_score,latest,831.0
eus_J9mTiuppWmyqdBijeo3JXt,heron_score,latest,826.0
eus_FMB2DZjRGNzhokiujMJ8EG,heron_score,latest,825.0
eus_PUPqoAAJVfPAhV9nRoNVef,heron_score,latest,823.0
eus_gRZbr93yYkHvv7QVwjQJFS,heron_score,latest,822.0
eus_VZUyfppchhieDfKMStPkdj,heron_score,latest,821.0
eus_d9oGjQrkBuCpcGCUSGwp8X,heron_score,latest,821.0
eus_eEJpL6qCz7Hihjjjwz73wX,heron_score,latest,821.0
eus_Cy46TeQFexBYEj5sft7CfR,heron_score,latest,819.0
eus_37PsHNovsZebYeV8wqKZJT,heron_score,latest,816.0
eus_WeFvdd2E54LAMn6i4LfkMJ,heron_score,latest,813.0
eus_cnbnr2ffHNGoqionre2hmd,heron_score,latest,809.0
eus_hmcRqMbvxMb5e3Q4AcHvr6,heron_score,latest,809.0
eus_HMVLX9YUF6KLJBDovhUdre,heron_score,latest,807.0
eus_2aNztb2Cvz8WKiuShTvMgh,heron_score,latest,805.0
eus_AyAZdV6MjFQJ5R6QwReNFy,heron_score,latest,803.0
eus_JNmMXnkxYDm9rb8PibTUci,heron_score,latest,803.0
eus_PuHJGAnstoyCe6BEbkoawZ,heron_score,latest,799.0
eus_ddnSFPVyg76bGNq2ZEo826,heron_score,latest,799.0
eus_82LVkuRRwTdDxgyM6Cf3HX,heron_score,latest,794.0
eus_BoshMCo7zeGgaxyxhsRivo,heron_score,latest,793.0
eus_2BvgGikX8EM45tfsEPzdNS,heron_score,latest,793.0
eus_WWqbuzTHuzEsvydySawjtY,heron_score,latest,793.0
eus_73PS2Lb9phZqsQ3YjDMX3A,heron_score,latest,787.0
eus_He6X444GeevT4vKnmqxZSr,heron_score,latest,785.0
eus_23Me4cH9pV2TZXZDS8eygu,heron_score,latest,784.0
eus_4y2qjh4NgM7vvypqLa2gni,heron_score,latest,783.0
eus_7Sz7ZjwhKFmYsb7V3SL2HS,heron_score,latest,776.0
eus_Z3xsBfcfr9kXgGWLFQLxFA,heron_score,latest,775.0
eus_j3C9QRuaFSdyfwJWNbYkh4,heron_score,latest,772.0
eus_guFTnCKn7sZEx8Cm8ZKQty,heron_score,latest,771.0
eus_76Q8XELUttwg4Fgo7DNVaE,heron_score,latest,771.0
eus_6VSHdNSxaVzJWA6piqZaHx,heron_score,latest,765.0
eus_caDP9bLpvUBJyZhhrtBew6,heron_score,latest,763.0
eus_DgQ2NJ7JjFGMZp3nYcBEZT,heron_score,latest,754.0
eus_hYLR9Fyc6982kEqhWkL9E8,heron_score,latest,752.0
eus_Jp86tR5T9khP3kRoh6svts,heron_score,latest,750.0
eus_3j98f6Cj4r8cYkpFFkFn6E,heron_score,latest,747.0
eus_TMaJkcABk8nJ6o8LB52sgp,heron_score,latest,747.0
eus_GN5qiJyPkwUEjdjRF9Sx3a,heron_score,latest,742.0
eus_dzD7JnChdi4aod9uzDUJkm,heron_score,latest,740.0
eus_8Tu47RSDTPzEbTUmCeDCZf,heron_score,latest,740.0
eus_BxxgmzQcKMdZdygcNhtjXo,heron_score,latest,737.0
eus_KsLKQpn56s9uP5uN3LaR8i,heron_score,latest,734.0
eus_QzNQQdHwnC7wVD44yFaGGm,heron_score,latest,730.0
eus_mfApHDyAZAqy8EuLr7petW,heron_score,latest,726.0
eus_RKpJ4VNE2R46ocBV9uHUaG,heron_score,latest,718.0
eus_fyBACjZmeP3JsSDWWPjrGn,heron_score,latest,715.0
eus_7Y9n36wZnebzQPXdzc6xaf,heron_score,latest,714.0
eus_9AqFDq27Jap7E5LRiRvRr4,heron_score,latest,714.0
eus_kuNSUzP65WNDkWFgTA7i4Y,heron_score,latest,712.0
eus_Xhs9bePhFsr8fZjzXAx9qn,heron_score,latest,707.0
eus_UF4YzqH6fsofqgZKqDW8ka,heron_score,latest,706.0
eus_dFvXZQAaj7kL2yDtMsq8kW,heron_score,latest,706.0
eus_nvQR6zyUMhoqUhp7bdweyG,heron_score,latest,704.0
eus_BobxRSiDFd27wCYefSQ3r2,heron_score,latest,701.0
eus_c4juVBMCM8yx7iA6yUTUCp,heron_score,latest,701.0
eus_BAvBHghNxBcE3Usfd8cnjH,heron_score,latest,698.0
eus_SZoJYXnktGXGV5xQzdf49i,heron_score,latest,695.0
eus_hheUpytFUzEYjJAcVgAPyp,heron_score,latest,694.0
eus_HBbxey9WdqVaZxUY2bF3nm,heron_score,latest,687.0
eus_JWDXcdPcNFN9Kh4CT9n9vr,heron_score,latest,678.0
eus_oSDiFaKJS8ky2R5QPFbCBB,heron_score,latest,675.0
eus_Tv6Y5GUyaaSu53JgtGYoyH,heron_score,latest,669.0
eus_oDUeFSzcjUSCJYzLmEq8fy,heron_score,latest,664.0
eus_AbmXk5zNbA4rehiFoBhbbZ,heron_score,latest,659.0
eus_NGBRig5csQa7WPGDXBEor4,heron_score,latest,659.0
eus_iX5o3RgSxDg442tvAReJPd,heron_score,latest,658.0
