feature,coefficient
balance_average_last_6_calendar_months,284041.36534586066
balance_average_last_180_days,236869.7895857038
balance_average_last_90_days,157415.64533170074
balance_minimum_last_365_days,64010.8756163651
balance_minimum_last_90_days,61027.718049136216
revenue_last_6_calendar_months,15104.971695212671
revenue_profit_and_loss_last_6_calendar_months,15104.97169519704
balance_minimum_last_180_days,14246.750484859485
revenue_monthly_average_last_3_calendar_months,10482.941168556976
net_operating_cashflow_daily_average_last_180_days,7289.074861952975
change_in_balance_last_180_days,6867.736379379501
annualized_revenue_last_3_calendar_months,5932.439449974731
net_operating_cashflow_daily_average_last_30_days,4984.150516066919
gross_operating_cashflow_daily_average_last_365_days,4274.347680425979
net_operating_cashflow_last_12_calendar_months,4048.0608182301003
net_operating_cashflow_profit_and_loss_last_12_calendar_months,4048.060818206848
gross_operating_cashflow_profit_and_loss_last_6_calendar_months,3784.1710240449092
gross_operating_cashflow_last_6_calendar_months,3784.171024026914
balance_average_last_1_calendar_months,3303.401787152756
inflows_last_180_days,2809.8271229074835
revenue_profit_and_loss_last_1_calendar_months,2427.5413798493682
cogs_profit_and_loss_last_1_calendar_months,2381.990047450008
opex_last_3_calendar_months,2328.331814220436
annualized_revenue_profit_and_loss_last_3_calendar_months,2045.81887227732
outflows_last_120_days,1902.3588356341534
deposit_days_last_365_days,1490.3072464930665
confidence_latest,1479.3461723737219
gross_operating_cashflow_daily_average_last_120_days,1450.5866559887208
annualized_revenue_profit_and_loss_last_1_calendar_months,1273.4026874045667
revenue_monthly_average_last_12_calendar_months,1252.6959216717005
cogs_last_3_calendar_months,1194.4158289745428
net_operating_cashflow_last_1_calendar_months,1168.3174087874336
net_operating_cashflow_profit_and_loss_last_1_calendar_months,1168.3174087840302
revenue_daily_average_last_180_days,984.2312327920445
gross_operating_cashflow_profit_and_loss_last_3_calendar_months,838.721956749303
gross_operating_cashflow_last_3_calendar_months,838.7219566531949
net_operating_cashflow_profit_and_loss_last_3_calendar_months,787.9926890989047
net_operating_cashflow_last_3_calendar_months,787.992689055023
inflows_last_30_days,635.3948595683323
debt_investors_last_120_days,589.5902491918637
opex_daily_average_last_180_days,550.9463411211709
deposit_days_last_120_days,519.8721823197375
revenue_monthly_average_last_1_calendar_months,477.6353419395091
unconnected_account_ratio_last_365_days,459.8426222988005
deposit_days_last_6_calendar_months,446.366786200997
nsf_days_last_90_days,439.4634765661176
debt_investors_last_30_days,371.3874801104793
debt_service_coverage_ratio_last_3_calendar_months,343.9762956887601
deposit_days_last_1_calendar_months,316.38291199735613
negative_balance_days_by_account_last_90_days,307.4641465114646
opex_last_12_calendar_months,300.276158974214
opex_profit_and_loss_last_12_calendar_months,300.276158962869
negative_balance_days_last_120_days,250.05580867997014
cogs_daily_average_last_180_days,243.55297680279728
average_credit_card_spend_last_6_calendar_months,240.53470051634275
deposit_days_last_3_calendar_months,222.72375693569484
nsf_days_last_30_days,217.59002306985803
opex_daily_average_last_30_days,197.87488200929965
revenue_daily_average_last_90_days,179.42307349551265
nsf_days_last_180_days,149.84710867749345
deposit_days_last_90_days,137.91397353673892
data_coverage_latest,134.77826656140314
merchant_coverage_latest,123.17222704641608
change_in_balance_last_30_days,105.03691707882538
average_credit_card_spend_last_1_calendar_months,102.87993354062633
negative_balance_days_by_account_last_365_days,89.52786480922714
cogs_daily_average_last_120_days,73.79211045829737
predicted_nsf_fees_next_60_days,65.65186254093169
revenue_daily_average_next_90_days,57.383116510623495
negative_balance_days_by_account_last_6_calendar_months,43.74124343576432
date_range_latest,43.563166534663694
tax_payment_amount_last_365_days,42.27170208037296
nsf_days_next_90_days,36.50230217983233
cogs_last_6_calendar_months,36.462909532339836
cogs_profit_and_loss_last_6_calendar_months,36.462909032215975
tax_payments_last_365_days,31.621220165081468
