,heron_score_latest
heron_score_latest,1.0
confidence_latest,0.6426794872390061
tax_payments_last_365_days,0.25021245000676273
revenue_daily_average_last_120_days,0.24571788485369128
revenue_daily_average_last_365_days,0.24509807324833624
revenue_daily_average_last_90_days,0.23810461018536078
revenue_daily_average_last_180_days,0.23778470920820868
debt_service_coverage_ratio_last_12_calendar_months,0.23444319443820547
debt_service_coverage_ratio_last_6_calendar_months,0.22571028002639412
revenue_daily_average_last_30_days,0.22460176774127374
revenue_monthly_average_last_3_calendar_months,0.2233354385020895
gross_operating_cashflow_daily_average_last_120_days,0.21987156878720082
revenue_monthly_average_last_12_calendar_months,0.21854305420343792
gross_operating_cashflow_daily_average_last_180_days,0.2183505784916203
debt_service_coverage_ratio_last_3_calendar_months,0.2174449470582713
revenue_profit_and_loss_last_3_calendar_months,0.21578485875660097
revenue_last_3_calendar_months,0.21545583373566463
net_operating_cashflow_daily_average_last_365_days,0.2129366344698622
net_operating_cashflow_last_12_calendar_months,0.2099118666106112
net_operating_cashflow_profit_and_loss_last_12_calendar_months,0.2099118666106112
revenue_monthly_average_last_6_calendar_months,0.2091225648798886
annualized_revenue_last_3_calendar_months,0.20690651222996193
annualized_revenue_profit_and_loss_last_3_calendar_months,0.20666700024469734
gross_operating_cashflow_daily_average_last_90_days,0.2052456995348965
gross_operating_cashflow_daily_average_last_365_days,0.20340956685534217
revenue_profit_and_loss_last_12_calendar_months,0.2006619980159816
revenue_last_12_calendar_months,0.2006619980159816
annualized_revenue_last_12_calendar_months,0.20066199801598156
annualized_revenue_profit_and_loss_last_12_calendar_months,0.20066199801598156
revenue_last_6_calendar_months,0.1965304169795465
revenue_profit_and_loss_last_6_calendar_months,0.1965304169795465
opex_daily_average_last_365_days,0.19544559681297569
annualized_revenue_profit_and_loss_last_6_calendar_months,0.19196456199001544
annualized_revenue_last_6_calendar_months,0.19196456199001544
net_operating_cashflow_daily_average_last_120_days,0.19018714125506078
gross_operating_cashflow_daily_average_last_30_days,0.188947881749751
revenue_monthly_average_last_1_calendar_months,0.18685278635919553
revenue_last_1_calendar_months,0.18684716526307102
revenue_profit_and_loss_last_1_calendar_months,0.18684684140311594
opex_daily_average_last_180_days,0.18410545335515635
gross_operating_cashflow_profit_and_loss_last_3_calendar_months,0.18342362454328318
gross_operating_cashflow_last_3_calendar_months,0.18342362454328318
gross_operating_cashflow_profit_and_loss_last_6_calendar_months,0.18296418544954587
gross_operating_cashflow_last_6_calendar_months,0.18296418544954587
opex_last_12_calendar_months,0.18040996199065085
opex_profit_and_loss_last_12_calendar_months,0.18040996199065085
opex_daily_average_last_90_days,0.17787301965624616
opex_daily_average_last_120_days,0.1754121425149153
annualized_revenue_last_1_calendar_months,0.17294310273563177
annualized_revenue_profit_and_loss_last_1_calendar_months,0.17290413930977383
net_operating_cashflow_last_6_calendar_months,0.1716806572466156
net_operating_cashflow_profit_and_loss_last_6_calendar_months,0.1716806572466156
net_operating_cashflow_last_3_calendar_months,0.17142107508319265
net_operating_cashflow_profit_and_loss_last_3_calendar_months,0.17142107508319265
net_operating_cashflow_daily_average_last_180_days,0.1710354428283026
data_coverage_latest,0.16734172426589247
opex_last_6_calendar_months,0.16306644293110836
opex_profit_and_loss_last_6_calendar_months,0.16306644293110836
opex_last_3_calendar_months,0.15826047779122465
gross_operating_cashflow_last_1_calendar_months,0.1577102046914372
gross_operating_cashflow_profit_and_loss_last_1_calendar_months,0.1577102046914372
opex_profit_and_loss_last_3_calendar_months,0.15765764138234473
net_operating_cashflow_daily_average_last_90_days,0.15414318646422168
gross_operating_cashflow_profit_and_loss_last_12_calendar_months,0.15158389891277932
gross_operating_cashflow_last_12_calendar_months,0.15158389891277932
opex_daily_average_last_30_days,0.14649044587162113
opex_last_1_calendar_months,0.14340626800108222
tax_payment_amount_last_365_days,0.1433711886617809
opex_profit_and_loss_last_1_calendar_months,0.1432041780239201
balance_minimum_last_365_days,0.12925483700913262
predicted_balance_daily_average_next_60_days,0.1286022970801521
predicted_balance_daily_average_next_90_days,0.1286022970801521
predicted_balance_daily_average_next_30_days,0.1286022970801521
balance_minimum_last_90_days,0.12275197792332693
last_debt_investment_days_latest,0.12109867419126004
deposit_days_last_365_days,0.11668770450137154
debt_service_coverage_ratio_last_1_calendar_months,0.1166581478962984
balance_minimum_last_180_days,0.11513968464264235
deposit_days_last_12_calendar_months,0.11351560931346315
balance_minimum_last_120_days,0.11255897097063992
deposit_days_last_3_calendar_months,0.1117732267955217
inflows_last_365_days,0.11158156043869887
balance_minimum_last_30_days,0.10996081631073701
net_operating_cashflow_daily_average_last_30_days,0.10852987333089163
deposit_days_last_120_days,0.10851491118431619
inflows_last_120_days,0.10619060647170417
inflows_last_30_days,0.10517764009653133
weekday_balance_average_last_90_days,0.10487652249235394
deposit_days_last_30_days,0.10484194217655828
outflows_last_365_days,0.10470641744101465
deposit_days_last_180_days,0.10406996915226856
deposit_days_last_90_days,0.10376730918788574
deposit_days_last_1_calendar_months,0.10262604207126631
outflows_last_90_days,0.10260438392469423
outflows_last_120_days,0.10237754292009055
inflows_last_180_days,0.10206199040043659
deposit_days_last_6_calendar_months,0.10128052130755935
outflows_last_180_days,0.10062084905922809
inflows_last_90_days,0.10011123716794734
