feature,coefficient
accounts_latest,-55.76514457851972
annualized_revenue_last_12_calendar_months,-291.7563315888045
annualized_revenue_last_1_calendar_months,1174.2720067464916
annualized_revenue_last_3_calendar_months,4855.799364979167
annualized_revenue_last_6_calendar_months,-4236.6721399350545
annualized_revenue_profit_and_loss_last_12_calendar_months,-302.6879311807503
annualized_revenue_profit_and_loss_last_1_calendar_months,-1211.6396701582396
annualized_revenue_profit_and_loss_last_3_calendar_months,1225.319975308066
annualized_revenue_profit_and_loss_last_6_calendar_months,-4236.511032374951
atm_withdrawals_last_365_days,-19.59309481601953
average_credit_card_spend_last_12_calendar_months,-209.53781672050368
average_credit_card_spend_last_1_calendar_months,142.89295101970646
average_credit_card_spend_last_3_calendar_months,-164.62100337644037
average_credit_card_spend_last_6_calendar_months,181.68492426464923
balance_average_last_120_days,81075.54514142583
balance_average_last_12_calendar_months,-273697.2658215364
balance_average_last_180_days,37306.649043869525
balance_average_last_1_calendar_months,3355.228551859021
balance_average_last_30_days,-4808.514611427734
balance_average_last_365_days,162927.59089135012
balance_average_last_3_calendar_months,-272739.6587054189
balance_average_last_6_calendar_months,-41796.68679468682
balance_average_last_90_days,130159.84799125434
balance_minimum_last_120_days,-15170.744082190005
balance_minimum_last_180_days,-572.9545100931807
balance_minimum_last_30_days,-4360.760185570057
balance_minimum_last_365_days,103617.22737626515
balance_minimum_last_90_days,73000.11946651056
category_coverage_latest,-0.6526380007576336
change_in_balance_last_180_days,71.66254577333096
change_in_balance_last_30_days,122.04950769388674
change_in_balance_last_90_days,-2729.5595113907234
cogs_daily_average_last_120_days,106.7752109850542
cogs_daily_average_last_180_days,297.9878552592527
cogs_daily_average_last_30_days,-107.78761442484574
cogs_daily_average_last_365_days,-264.8114922412751
cogs_daily_average_last_90_days,-203.33304943160692
cogs_last_12_calendar_months,17.037029347127827
cogs_last_1_calendar_months,-384.46770180392923
cogs_last_3_calendar_months,1089.2029744756874
cogs_last_6_calendar_months,47.52116282759016
cogs_profit_and_loss_last_12_calendar_months,17.03703308902186
cogs_profit_and_loss_last_1_calendar_months,397.3165651358868
cogs_profit_and_loss_last_3_calendar_months,-1085.1341426623076
cogs_profit_and_loss_last_6_calendar_months,47.52116137975463
confidence_latest,1460.0182979278525
data_coverage_latest,136.71496228427714
data_freshness_latest,3.7044259215690545e-08
data_volume_latest,-294.3531154637658
date_range_latest,1.7808018659447953
debt_collection_last_365_days,-5.018133606427e-07
debt_investment_count_last_365_days,-60.078639743040185
debt_investment_last_120_days,-0.0018046805780613795
debt_investment_last_180_days,0.0014655413924629102
debt_investment_last_30_days,-0.0011630256276475848
debt_investment_last_365_days,1.85834778676508e-05
debt_investment_last_90_days,-5.298716860124841e-05
debt_investors_last_120_days,596.679590860424
debt_investors_last_180_days,6.0503755533482035
debt_investors_last_30_days,285.76820309113066
debt_investors_last_365_days,-170.8818579380836
debt_investors_last_90_days,-591.6836529258389
debt_repayment_daily_average_last_120_days,-0.4573336647445103
debt_repayment_daily_average_last_180_days,0.06886090627813246
debt_repayment_daily_average_last_30_days,0.06799641259203781
debt_repayment_daily_average_last_365_days,-0.08967452557408251
debt_repayment_daily_average_last_90_days,0.1839996708004037
debt_repayment_last_12_calendar_months,0.0005020981616326026
debt_repayment_last_1_calendar_months,-0.002852756773791043
debt_repayment_last_3_calendar_months,0.0034177416146121686
debt_repayment_last_6_calendar_months,-0.0008521284980815835
debt_service_coverage_ratio_last_12_calendar_months,-71.87631311189682
debt_service_coverage_ratio_last_1_calendar_months,-655.1302374666179
debt_service_coverage_ratio_last_3_calendar_months,384.373966274387
debt_service_coverage_ratio_last_6_calendar_months,70.76328756094622
deposit_days_last_120_days,684.5388346354885
deposit_days_last_12_calendar_months,-558.2311019125118
deposit_days_last_180_days,-2247.027716983357
deposit_days_last_1_calendar_months,166.06505387879588
deposit_days_last_30_days,22.195534173966735
deposit_days_last_365_days,1320.092435584109
deposit_days_last_3_calendar_months,627.335435085648
deposit_days_last_6_calendar_months,62.51041250787057
deposit_days_last_90_days,-100.29190783702506
distinct_mcas_from_inflows_last_120_days,-7.782159627822693e-08
distinct_mcas_from_inflows_last_180_days,1.9347692159499275e-07
distinct_mcas_from_inflows_last_30_days,2.043622657765809e-07
distinct_mcas_from_inflows_last_365_days,2.692311227292521e-07
distinct_mcas_from_inflows_last_90_days,2.654828676895704e-07
distinct_mcas_from_outflows_last_120_days,-5.036622496845666e-08
distinct_mcas_from_outflows_last_180_days,2.565659542597132e-07
distinct_mcas_from_outflows_last_30_days,1.8131004253518768e-08
distinct_mcas_from_outflows_last_365_days,-4.5676870286115445e-08
distinct_mcas_from_outflows_last_90_days,-3.292122983111767e-07
gross_operating_cashflow_daily_average_last_120_days,1421.6560617417235
gross_operating_cashflow_daily_average_last_180_days,-3252.904062374889
gross_operating_cashflow_daily_average_last_30_days,-271.5674833443163
gross_operating_cashflow_daily_average_last_365_days,9893.64309796543
gross_operating_cashflow_daily_average_last_90_days,-2951.9057649612387
gross_operating_cashflow_last_12_calendar_months,-6246.108398936874
gross_operating_cashflow_last_1_calendar_months,-13.162879676684952
gross_operating_cashflow_last_3_calendar_months,417.55570346351806
gross_operating_cashflow_last_6_calendar_months,3378.467842924344
gross_operating_cashflow_profit_and_loss_last_12_calendar_months,-6246.108398978938
gross_operating_cashflow_profit_and_loss_last_1_calendar_months,-13.162879685223288
gross_operating_cashflow_profit_and_loss_last_3_calendar_months,417.5557036143341
gross_operating_cashflow_profit_and_loss_last_6_calendar_months,3378.4678429142486
has_balance_ratio_latest,-33.80227370024295
inflow_amount_last_6_calendar_months,-95.98465397506061
inflow_daily_average_last_365_days,0.006855420971987769
inflow_growth_rate_last_6_calendar_months,-13.942777615928208
inflows_last_120_days,-1285.7564497967087
inflows_last_180_days,2892.46520808925
inflows_last_30_days,527.1002802213006
inflows_last_365_days,-744.0505078023689
inflows_last_90_days,-1404.7672988695413
last_debt_investment_days_latest,0.04058015870396048
last_debt_investment_latest,0.00040939785321825184
latest_balance_latest,-325.7144737111994
merchant_coverage_latest,134.85763093832065
merchant_heron_ids_latest,-38.489758304664065
negative_balance_days_by_account_last_120_days,-137.9308929569088
negative_balance_days_by_account_last_180_days,44.640649278654564
negative_balance_days_by_account_last_30_days,-103.59199258665876
negative_balance_days_by_account_last_365_days,122.55722918071115
negative_balance_days_by_account_last_6_calendar_months,-114.51116343759168
negative_balance_days_by_account_last_90_days,176.75512016089942
negative_balance_days_last_120_days,240.1568213300161
negative_balance_days_last_180_days,-69.39192801131867
negative_balance_days_last_30_days,-79.75453213386936
negative_balance_days_last_365_days,-223.01964751804553
negative_balance_days_last_90_days,60.25718311530727
net_operating_cashflow_daily_average_last_120_days,3976.5209680958887
net_operating_cashflow_daily_average_last_180_days,-5151.666665014842
net_operating_cashflow_daily_average_last_30_days,2281.736675846001
net_operating_cashflow_daily_average_last_365_days,-14576.913352214196
net_operating_cashflow_daily_average_last_90_days,-3534.5394973193143
net_operating_cashflow_last_12_calendar_months,6896.752984642802
net_operating_cashflow_last_1_calendar_months,1684.5895630594898
net_operating_cashflow_last_3_calendar_months,-3421.9355963883327
net_operating_cashflow_last_6_calendar_months,1903.0434053756235
net_operating_cashflow_profit_and_loss_last_12_calendar_months,6896.752984562267
net_operating_cashflow_profit_and_loss_last_1_calendar_months,1684.5895630977795
net_operating_cashflow_profit_and_loss_last_3_calendar_months,-3421.9355964261476
net_operating_cashflow_profit_and_loss_last_6_calendar_months,1903.0434053750532
nsf_days_last_120_days,-299.37083290279406
nsf_days_last_180_days,377.27395357897876
nsf_days_last_30_days,131.826552426568
nsf_days_last_365_days,-169.8937626676743
nsf_days_last_90_days,500.31493844342185
nsf_days_next_180_days,-32.473399773122765
nsf_days_next_30_days,18.34078342510975
nsf_days_next_60_days,10.1038106919018
nsf_days_next_90_days,32.900898096638684
nsf_fees_last_120_days,3.752882086271711
nsf_fees_last_180_days,-18.847860058987862
nsf_fees_last_30_days,2.555374643940013
nsf_fees_last_365_days,0.2496605214109877
nsf_fees_last_6_calendar_months,17.103308605845086
nsf_fees_last_90_days,-4.642739725502906
opex_daily_average_last_120_days,-254.6167663059059
opex_daily_average_last_180_days,115.62126853222071
opex_daily_average_last_30_days,16.509335518636362
opex_daily_average_last_365_days,116.74256681639054
opex_daily_average_last_90_days,159.61935427218123
opex_last_12_calendar_months,233.00471618316806
opex_last_1_calendar_months,1549.356167372931
opex_last_3_calendar_months,2087.4912516382374
opex_last_6_calendar_months,-60.922363285489155
opex_profit_and_loss_last_12_calendar_months,233.00471619065047
opex_profit_and_loss_last_1_calendar_months,-1567.550657354781
opex_profit_and_loss_last_3_calendar_months,-2167.3849955574588
opex_profit_and_loss_last_6_calendar_months,-60.9223635017197
outflow_daily_average_last_365_days,0.010977971303873346
outflows_last_120_days,1189.140276333157
outflows_last_180_days,-1415.3774549955888
