heron_id,annualized_revenue_last_12_calendar_months,balance_average_last_365_days,balance_minimum_last_365_days,cogs_daily_average_last_365_days,confidence_latest,debt_investment_count_last_365_days,debt_investment_last_365_days,debt_investors_last_365_days,debt_repayment_daily_average_last_365_days,debt_service_coverage_ratio_last_12_calendar_months,debt_service_coverage_ratio_last_1_calendar_months,debt_service_coverage_ratio_last_3_calendar_months,debt_service_coverage_ratio_last_6_calendar_months,gross_operating_cashflow_last_12_calendar_months,heron_score_latest,inflow_daily_average_last_365_days,inflow_growth_rate_last_6_calendar_months,last_debt_investment_days_latest,last_debt_investment_latest,latest_balance_latest,negative_balance_days_by_account_last_365_days,negative_balance_days_last_365_days,net_operating_cashflow_daily_average_last_365_days,outflows_last_365_days,potentially_duplicated_account_pairs_latest,revenue_growth_rate_last_6_calendar_months,revenue_last_12_calendar_months
eus_22UP5TrfYTnNSskYdrPrES,161260.03,9814.957644,3000.38,0.44860274,0.795135112,3.0,629.0,1.0,10.92556164,9.04183729,-2.457108252,2.644642993,0.545565717,161096.29,0.130670598,892.694411,1.590647816,126.0,500.0,6818.33,59.0,0.0,98.78715068,968.0,0.0,1.118234911,161260.03
eus_23Me4cH9pV2TZXZDS8eygu,2083834.39,14711.72633,-42168.36,57.47090411,0.81642922,32.0,361228.38,4.0,749.0167671,0.296080115,0.750652766,0.79406634,3.666801602,2061528.76,784.0,8757.340247,-0.86878955,10.0,434.68,-3833.54,621.0,81.0,423.554274,2054.0,0.0,-0.885771109,2083834.39
eus_24a8xBCmDVMNo8ueHGdFsY,1092521.21,65229.43429,34072.36,2.265342466,0.820457853,0.0,0.0,0.0,52.66260274,9.5046379,-11.28575178,4.899412646,11.00580972,1091694.36,934.0,3279.124932,-0.127082699,1053.0,2000.0,107339.43,4.0,0.0,552.7940274,332.0,0.0,-0.151012756,1092521.21
eus_264GctgNhcqHemTqT2DgGy,500237.54,243829.4752,4509.38,139.9534247,0.769993994,0.0,0.0,0.0,39.45205479,27.24104571,0.58108848,3.358936,15.84865,446841.21,0.551196873,2593.096685,-0.529143021,1161.0,15.41,631449.9,2.0,0.0,936.5976438,189.0,0.0,-0.730811253,500237.54
eus_286N47nmtHuZHjoHr4TKFb,60097.49,90235.25685,1046.53,0.0,0.829376535,0.0,0.0,0.0,0.0,0.387327941,0.326781917,0.100888613,0.464793136,60097.49,614.0,152.3218904,0.755314576,0.806281069,0.309973118,1046.53,0.0,0.0,-150.9392055,33.0,0.0,0.85012948,60097.49
eus_2AJ2MrpRqUn3pJoWFGMFya,21315.95,4961.659205,-1014.78,1.842136986,0.630626068,1.0,600.0,0.0,17.52967123,-7.990573076,-2.05461633,-1.733170122,-5.348420463,20406.12,0.997781278,420.8469041,-0.215260034,161.0,600.0,3459.91,13.0,1.0,-129.2334521,2587.0,0.0,0.139401796,21315.95
eus_2BvgGikX8EM45tfsEPzdNS,76605.61,7461.661973,1472.54,14.79449315,0.846516914,0.0,0.0,0.0,71.95632877,0.834616959,0.728669141,1.282100174,0.790231113,71467.86,793.0,209.1096438,-0.223372978,0.296971959,0.224867084,4559.06,0.0,0.0,62.37394521,1312.0,0.0,-0.223690721,76605.61
eus_2F7Lc63ABDkBEeb5yMJ42n,15189.11,1234.861346,-2760.17,2.86709589,0.778704102,0.0,0.0,0.0,0.891260274,-6.03684259,0.888792076,0.777572429,0.570902639,14142.62,0.449642736,388.8727945,1.237097065,0.69470225,0.081869224,-13.85,301.0,106.0,-5.040958904,614.0,0.0,12.46032803,15189.11
eus_2FQdAuX3WkhgjAkdCyNmPK,205916.29,24680.20962,-11489.84,24.6370137,0.796325447,0.0,0.0,0.0,0.0,0.659457469,0.924128034,0.305071299,0.436811169,199402.02,0.805968522,1361.51726,1.180762625,1165.0,20833.0,25275.44,16.0,11.0,-187.9350411,650.0,0.0,0.473966146,205916.29
eus_2PhhrxvNACnfnfRhR5X85J,484072.3,467097.1987,436849.78,12.14090411,0.794365905,1.0,480.0,0.0,9.874136986,48.51747751,0.681943296,0.433005954,0.212708045,479640.87,0.5384704,1318.766712,0.523603965,337.0,480.0,508870.17,33.0,0.0,465.9692877,398.0,0.0,0.474126424,484072.3
eus_2RywWUaewnrMgB8oukeRTp,2540180.56,29346.85567,-49773.25,0.0,0.804733944,0.0,0.0,0.0,0.0,0.360375117,0.169619424,0.112817631,0.667866318,2540180.56,506.0,6869.787753,0.12363026,915.0,45000.0,56849.98,15.0,15.0,171.0976438,128.0,0.0,0.123634267,2540180.56
eus_2UWwpkWhvcGE6ewNjwNMCw,0.0,21680.46959,7349.22,7.931315068,0.620958366,0.0,0.0,0.0,46.19353425,-3.11123852,-2.367938876,-6.229035958,-4.193043707,-3019.93,0.816290196,253.2902466,-0.260435811,0.077328209,0.967299427,19038.89,0.0,0.0,-153.3895342,193.0,0.0,0.586707059,0.0
