heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,metric_value_transformed,iqr_distance,outlier_score,outlier_method,metric_name
eus_mtbF5av34Y6nUjZvsFTkEi,balance_average,last_30_days,-342.9413043,balance,amount,Average balance,-5.840471015780066,2.904145254152199,2.904145254152199,IQR,balance_average
eus_mtbF5av34Y6nUjZvsFTkEi,balance_average,last_120_days,-306.4786726,balance,amount,Average balance,-5.728405727442863,2.8780422235311782,2.8780422235311782,IQR,balance_average
eus_mtbF5av34Y6nUjZvsFTkEi,balance_average,last_180_days,-494.3669364,balance,amount,Average balance,-6.205298773608748,2.9891234867102185,2.9891234867102185,IQR,balance_average
eus_mtbF5av34Y6nUjZvsFTkEi,balance_average,last_365_days,-420.7176536,balance,amount,Average balance,-6.044336022812022,2.9516309171979893,2.9516309171979893,IQR,balance_average
eus_mtbF5av34Y6nUjZvsFTkEi,balance_average,last_1_calendar_months,-762.6387097,balance,amount,Average balance,-6.6380947842545055,3.089933360009687,3.089933360009687,IQR,balance_average
eus_mtbF5av34Y6nUjZvsFTkEi,balance_average,last_3_calendar_months,-244.6351087,balance,amount,Average balance,-5.503847136789404,2.8257364662800764,2.8257364662800764,IQR,balance_average
eus_mtbF5av34Y6nUjZvsFTkEi,balance_average,last_6_calendar_months,-194.3545856,balance,amount,Average balance,-5.274816294990612,2.772389001018192,2.772389001018192,IQR,balance_average
eus_mtbF5av34Y6nUjZvsFTkEi,balance_average,last_12_calendar_months,-476.8927671,balance,amount,Average balance,-6.169386370713356,2.980758518695929,2.980758518695929,IQR,balance_average
eus_2F7Lc63ABDkBEeb5yMJ42n,balance_average,last_90_days,-84.30910112,balance,amount,Average balance,-4.446281144233983,2.579400799839286,2.579400799839286,IQR,balance_average
eus_2F7Lc63ABDkBEeb5yMJ42n,balance_average,last_1_calendar_months,-366.8006452,balance,amount,Average balance,-5.907541066382929,2.9197676793528733,2.9197676793528733,IQR,balance_average
eus_LoNEbmyAahYf49pye4quTt,balance_average,last_90_days,-662.871236,balance,amount,Average balance,-6.498088208984445,3.057322049445599,3.057322049445599,IQR,balance_average
eus_LoNEbmyAahYf49pye4quTt,balance_average,last_120_days,-743.0253782,balance,amount,Average balance,-6.612075144735213,3.083872683620078,3.083872683620078,IQR,balance_average
eus_LoNEbmyAahYf49pye4quTt,balance_average,last_180_days,-1124.426257,balance,amount,Average balance,-7.025917137987006,3.1802676546445676,3.1802676546445676,IQR,balance_average
eus_LoNEbmyAahYf49pye4quTt,balance_average,last_365_days,-1467.083929,balance,amount,Average balance,-7.291713379883509,3.242178773994031,3.242178773994031,IQR,balance_average
eus_LoNEbmyAahYf49pye4quTt,balance_average,last_1_calendar_months,-2179.888065,balance,amount,Average balance,-7.687487442096858,3.3343652361737846,3.3343652361737846,IQR,balance_average
eus_LoNEbmyAahYf49pye4quTt,balance_average,last_3_calendar_months,-1139.889022,balance,amount,Average balance,-7.039563081327964,3.1834461631922806,3.1834461631922806,IQR,balance_average
eus_LoNEbmyAahYf49pye4quTt,balance_average,last_6_calendar_months,-1292.106188,balance,amount,Average balance,-7.164802500689784,3.212617804536955,3.212617804536955,IQR,balance_average
eus_LoNEbmyAahYf49pye4quTt,balance_average,last_12_calendar_months,-1642.64137,balance,amount,Average balance,-7.404669407050238,3.268489281732074,3.268489281732074,IQR,balance_average
eus_Lb5P9Sh5ndchdQoL4nPQAE,balance_average,last_30_days,0.0513248956158769,balance,amount,Average balance,0.05005117411054668,1.5320836338416093,1.5320836338416093,IQR,balance_average
eus_Lb5P9Sh5ndchdQoL4nPQAE,balance_average,last_90_days,-125.0,balance,amount,Average balance,-4.836281906951478,2.670242504728351,2.670242504728351,IQR,balance_average
eus_Lb5P9Sh5ndchdQoL4nPQAE,balance_average,last_120_days,-220.4048485,balance,amount,Average balance,-5.399992919312077,2.801546015702948,2.801546015702948,IQR,balance_average
eus_Lb5P9Sh5ndchdQoL4nPQAE,balance_average,last_180_days,-407.4391398,balance,amount,Average balance,-6.0123429186230295,2.944178859645664,2.944178859645664,IQR,balance_average
eus_Lb5P9Sh5ndchdQoL4nPQAE,balance_average,last_1_calendar_months,0.0720396277315708,balance,amount,Average balance,0.06956302813288838,1.5275387963582527,1.5275387963582527,IQR,balance_average
eus_Lb5P9Sh5ndchdQoL4nPQAE,balance_average,last_3_calendar_months,-189.7058824,balance,amount,Average balance,-5.250732358486166,2.7667792021109814,2.7667792021109814,IQR,balance_average
eus_Lb5P9Sh5ndchdQoL4nPQAE,balance_average,last_6_calendar_months,-408.3733028,balance,amount,Average balance,-6.014627460548861,2.944710991126605,2.944710991126605,IQR,balance_average
eus_bUT7vbavvzsetamrb5HzUo,balance_average,last_1_calendar_months,-75.15967742,balance,amount,Average balance,-4.332832154917417,2.5529754679100676,2.5529754679100676,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_90_days,-439.7027273,balance,amount,Average balance,-6.088370560392441,2.961887749620403,2.961887749620403,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_120_days,-451.6195763,balance,amount,Average balance,-6.11505198524682,2.9681025736780597,2.9681025736780597,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_180_days,-1142.117135,balance,amount,Average balance,-7.041514138859022,3.183900617155968,3.183900617155968,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_365_days,-1401.990909,balance,amount,Average balance,-7.2463616003950815,3.231615120375061,3.231615120375061,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_1_calendar_months,-540.6145161,balance,amount,Average balance,-6.294554523491476,3.009913560129568,3.009913560129568,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_3_calendar_months,-690.1569565,balance,amount,Average balance,-6.53836694196859,3.0667040535974768,3.0667040535974768,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_6_calendar_months,-1385.208177,balance,amount,Average balance,-7.23432736832668,3.2288120228874897,3.2288120228874897,IQR,balance_average
eus_eX5AZxTaxhqS7HxZxQEWjT,balance_average,last_12_calendar_months,-1221.513945,balance,amount,Average balance,-7.108664628236934,3.199541778718627,3.199541778718627,IQR,balance_average
eus_avb47hn3MaRgBTBNFxob8L,balance_average,last_30_days,-37.0675,balance,amount,Average balance,-3.6393608997327505,2.391447293776297,2.391447293776297,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_120_days,-1001.087542,balance,amount,Average balance,-6.909840645093982,3.153230306208447,3.153230306208447,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_180_days,-5553.530169,balance,amount,Average balance,-8.622369120459002,3.5521244142333566,3.5521244142333566,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_365_days,-6520.643003,balance,amount,Average balance,-8.782881617500616,3.5895121074923653,3.5895121074923653,IQR,balance_average
eus_guFTnCKn7sZEx8Cm8ZKQty,balance_average,last_1_calendar_months,-477.5848387,balance,amount,Average balance,-6.170833496535392,2.981095593362006,2.981095593362006,IQR,balance_average
