heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,metric_value_transformed,outlier_score,outlier_method,metric_name
eus_MuEwbUdTRUZH5AbunkHgGZ,balance_average,last_30_days,-879518.1227,balance,amount,Average balance,-13.687130585618094,3.3216641816473333,Z-score,balance_average
eus_MuEwbUdTRUZH5AbunkHgGZ,balance_average,last_90_days,-1526269.189,balance,amount,Average balance,-14.238337532165593,3.4099188080824185,Z-score,balance_average
eus_MuEwbUdTRUZH5AbunkHgGZ,balance_average,last_120_days,-575338.2813,balance,amount,Average balance,-13.262715200200601,3.2537103549984963,Z-score,balance_average
eus_MuEwbUdTRUZH5AbunkHgGZ,balance_average,last_1_calendar_months,-6024006.222,balance,amount,Average balance,-15.61126324733233,3.6297401417468356,Z-score,balance_average
eus_MuEwbUdTRUZH5AbunkHgGZ,balance_average,last_3_calendar_months,-417498.9692,balance,amount,Average balance,-12.942039749500589,3.202366495336174,Z-score,balance_average
eus_Wt4VEntndf8RZbARHPyD9L,balance_average,last_30_days,-199693.5442,balance,amount,Average balance,-12.204544199050739,3.0842849023697467,Z-score,balance_average
eus_Wt4VEntndf8RZbARHPyD9L,balance_average,last_90_days,-2183292.259,balance,amount,Average balance,-14.596344964118387,3.4672399510140868,Z-score,balance_average
eus_Wt4VEntndf8RZbARHPyD9L,balance_average,last_120_days,-1572590.965,balance,amount,Average balance,-14.268235749153487,3.414705859457349,Z-score,balance_average
eus_Wt4VEntndf8RZbARHPyD9L,balance_average,last_180_days,-1018096.857,balance,amount,Average balance,-13.833446598191784,3.3450910726037035,Z-score,balance_average
eus_Wt4VEntndf8RZbARHPyD9L,balance_average,last_365_days,-492910.2326,balance,amount,Average balance,-13.108084381234782,3.228952167082583,Z-score,balance_average
eus_Wt4VEntndf8RZbARHPyD9L,balance_average,last_1_calendar_months,-4985556.031,balance,amount,Average balance,-15.42205569655974,3.5994458179602367,Z-score,balance_average
eus_Wt4VEntndf8RZbARHPyD9L,balance_average,last_3_calendar_months,-1894692.37,balance,amount,Average balance,-14.454567573379624,3.444539746063908,Z-score,balance_average
eus_Wt4VEntndf8RZbARHPyD9L,balance_average,last_6_calendar_months,-952045.5561,balance,amount,Average balance,-13.766369216044154,3.334351205588671,Z-score,balance_average
eus_Wt4VEntndf8RZbARHPyD9L,balance_average,last_12_calendar_months,-471555.5325,balance,amount,Average balance,-13.063794273125996,3.22186080698563,Z-score,balance_average
eus_bwPNYF4ZWvQZzxhSqPCnhj,balance_average,last_180_days,-14156232.73,balance,amount,Average balance,-16.465665631331248,3.7665398749457215,Z-score,balance_average
eus_bwPNYF4ZWvQZzxhSqPCnhj,balance_average,last_365_days,-10645973.18,balance,amount,Average balance,-16.180692367387834,3.720912349547426,Z-score,balance_average
eus_bwPNYF4ZWvQZzxhSqPCnhj,balance_average,last_3_calendar_months,-467221.8313,balance,amount,Average balance,-13.054561577666862,3.22038254533846,Z-score,balance_average
eus_bwPNYF4ZWvQZzxhSqPCnhj,balance_average,last_6_calendar_months,-21464890.05,balance,amount,Average balance,-16.88192918392328,3.833188498593619,Z-score,balance_average
eus_bwPNYF4ZWvQZzxhSqPCnhj,balance_average,last_12_calendar_months,-10646032.44,balance,amount,Average balance,-16.18069793379576,3.720913240793908,Z-score,balance_average
eus_666xMQyYdvNDbB7Zh8e8ug,balance_average,last_365_days,-1521168.649,balance,amount,Average balance,-14.234990102825627,3.4093828458131346,Z-score,balance_average
eus_666xMQyYdvNDbB7Zh8e8ug,balance_average,last_12_calendar_months,-1522811.258,balance,amount,Average balance,-14.23606935310347,3.4095556463024925,Z-score,balance_average
eus_5zuDQGdgAzhrAthmjnQc5R,balance_average,last_365_days,-5859946.809,balance,amount,Average balance,-15.583651255199541,3.625319141492627,Z-score,balance_average
eus_5zuDQGdgAzhrAthmjnQc5R,balance_average,last_12_calendar_months,-5687208.821,balance,amount,Average balance,-15.553730320456237,3.6205284527415174,Z-score,balance_average
eus_CRW7BeqiX9W34L2iAdVecw,balance_average,last_180_days,-4526868.062,balance,amount,Average balance,-15.325541102209204,3.583992711784249,Z-score,balance_average
eus_CRW7BeqiX9W34L2iAdVecw,balance_average,last_365_days,-2104207.475,balance,amount,Average balance,-14.559449933007182,3.4613326285312604,Z-score,balance_average
eus_CRW7BeqiX9W34L2iAdVecw,balance_average,last_6_calendar_months,-4498227.019,balance,amount,Average balance,-15.319194103635828,3.5829764836841034,Z-score,balance_average
eus_CRW7BeqiX9W34L2iAdVecw,balance_average,last_12_calendar_months,-2088383.329,balance,amount,Average balance,-14.551901276659697,3.4601240010816126,Z-score,balance_average
eus_8MYHvzxb8gbUXobiuEDCQi,balance_average,last_90_days,-33951541.76,balance,amount,Average balance,-17.34044485305728,3.90660217624684,Z-score,balance_average
eus_8MYHvzxb8gbUXobiuEDCQi,balance_average,last_120_days,-94916754.93,balance,amount,Average balance,-18.368510812061995,4.0712074623937005,Z-score,balance_average
eus_8MYHvzxb8gbUXobiuEDCQi,balance_average,last_180_days,-138868680.6,balance,amount,Average balance,-18.749039307859345,4.132134488903165,Z-score,balance_average
eus_8MYHvzxb8gbUXobiuEDCQi,balance_average,last_365_days,-80632987.94,balance,amount,Average balance,-18.20541841579926,4.045094477793769,Z-score,balance_average
eus_8MYHvzxb8gbUXobiuEDCQi,balance_average,last_3_calendar_months,-129843136.3,balance,amount,Average balance,-18.681837643694468,4.121374722895433,Z-score,balance_average
eus_8MYHvzxb8gbUXobiuEDCQi,balance_average,last_6_calendar_months,-138101844.8,balance,amount,Average balance,-18.743501983967246,4.131247899112147,Z-score,balance_average
eus_8MYHvzxb8gbUXobiuEDCQi,balance_average,last_12_calendar_months,-89272503.01,balance,amount,Average balance,-18.307204092610927,4.061391545419134,Z-score,balance_average
eus_4pvpkcZ4K7ijmSkD2mAbk6,balance_average,last_12_calendar_months,-121602.6169,balance,amount,Average balance,-11.708521992315273,3.004865992950809,Z-score,balance_average
eus_73PS2Lb9phZqsQ3YjDMX3A,balance_average,last_365_days,-350723.1393,balance,amount,Average balance,-12.767755265524514,3.174461527659184,Z-score,balance_average
eus_73PS2Lb9phZqsQ3YjDMX3A,balance_average,last_12_calendar_months,-349582.2941,balance,amount,Average balance,-12.764497135866593,3.17393986330492,Z-score,balance_average
eus_L8qwooxABDqcjUFLJSfoW9,balance_average,last_365_days,-9532355477.0,balance,amount,Average balance,-22.977957688605454,4.80923337935601,Z-score,balance_average
eus_L8qwooxABDqcjUFLJSfoW9,balance_average,last_12_calendar_months,-13267828073.0,balance,amount,Average balance,-23.308608000003336,4.862174329929734,Z-score,balance_average
eus_VX7enbhgy4kMueVgi5SnhA,balance_average,last_365_days,-107196639.4,balance,amount,Average balance,-18.49017546655764,4.090687384952953,Z-score,balance_average
eus_VX7enbhgy4kMueVgi5SnhA,balance_average,last_12_calendar_months,-122530960.8,balance,amount,Average balance,-18.623874305401067,4.112094120029203,Z-score,balance_average
