heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,inflow_daily_average,last_365_days,10643.744438356163,balance,amount,Daily average inflow,5.431091037123075,5.431091037123075,IQR,inflow_daily_average
eus_TvVwrNJvF48xUgcuXqLKXP,inflow_daily_average,last_365_days,7803.554794520547,balance,amount,Daily average inflow,3.6477604783720947,3.6477604783720947,IQR,inflow_daily_average
eus_guFTnCKn7sZEx8Cm8ZKQty,inflow_daily_average,last_365_days,13015.654739726027,balance,amount,Daily average inflow,6.920393039272739,6.920393039272739,IQR,inflow_daily_average
eus_JmPbN6nWLS2oS9XcoRhMeY,inflow_daily_average,last_365_days,7501.885232876712,balance,amount,Daily average inflow,3.4583447648502545,3.4583447648502545,IQR,inflow_daily_average
eus_KBVBcbaFgQDXroqDNpwbwb,inflow_daily_average,last_365_days,11445.876767123287,balance,amount,Daily average inflow,5.93474300175762,5.93474300175762,IQR,inflow_daily_average
eus_Ygrn9HsoNCqeaJVDVPf84m,inflow_daily_average,last_365_days,6881.373863013699,balance,amount,Daily average inflow,3.068731032425425,3.068731032425425,IQR,inflow_daily_average
eus_PpPSzV9o8G6ehA3oeFMzXF,inflow_daily_average,last_365_days,6384.470410958904,balance,amount,Daily average inflow,2.756729644517591,2.756729644517591,IQR,inflow_daily_average
eus_muQ63CiyZorvBMsyMLsVUY,inflow_daily_average,last_365_days,16603.325479452054,balance,amount,Daily average inflow,9.173060525324757,9.173060525324757,IQR,inflow_daily_average
eus_k9wiS4YL7SK6inyJV2ocag,inflow_daily_average,last_365_days,16009.43797260274,balance,amount,Daily average inflow,8.800163686649391,8.800163686649391,IQR,inflow_daily_average
eus_mpucMpMfq78bStinjgaq4U,inflow_daily_average,last_365_days,25589.242684931505,balance,amount,Daily average inflow,14.815240365575312,14.815240365575312,IQR,inflow_daily_average
eus_SE5vMgKw3UeDXRQCRLa7aV,inflow_daily_average,last_365_days,8706.559918,balance,amount,Daily average inflow,4.214749599998092,4.214749599998092,IQR,inflow_daily_average
eus_W7NokqUBz9f92LWbGLxM9S,inflow_daily_average,last_365_days,5920.0445479452055,balance,amount,Daily average inflow,2.465120654398141,2.465120654398141,IQR,inflow_daily_average
eus_ErGmymCXqFS4ZXgPKVQTW5,inflow_daily_average,last_365_days,4386.97591780822,balance,amount,Daily average inflow,1.5025200961151306,1.5025200961151306,IQR,inflow_daily_average
eus_WQT7NNsuuuVkDmcy7Fqrf7,inflow_daily_average,last_365_days,62991.190136986304,balance,amount,Daily average inflow,38.299600289503026,38.299600289503026,IQR,inflow_daily_average
eus_cRacRFEfeZ6iRkVbyiYTpz,inflow_daily_average,last_365_days,6481.9226849315055,balance,amount,Daily average inflow,2.817919086065027,2.817919086065027,IQR,inflow_daily_average
eus_T2K27jz9XgjHzMqRFmWZyM,inflow_daily_average,last_365_days,13021.51802739726,balance,amount,Daily average inflow,6.9240745469852785,6.9240745469852785,IQR,inflow_daily_average
eus_iL2xiCohwqnH3cxBpwfL2S,inflow_daily_average,last_365_days,20192.09156164384,balance,amount,Daily average inflow,11.426415767455222,11.426415767455222,IQR,inflow_daily_average
eus_Sf6q3tFMsx4JuuFVFLuY7C,inflow_daily_average,last_365_days,17533.524520547944,balance,amount,Daily average inflow,9.757124473064145,9.757124473064145,IQR,inflow_daily_average
eus_MuEwbUdTRUZH5AbunkHgGZ,inflow_daily_average,last_365_days,9124.767178082191,balance,amount,Daily average inflow,4.477338328329944,4.477338328329944,IQR,inflow_daily_average
