heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,outflow_daily_average,last_365_days,-9530.30326,balance,amount,Daily average outflow,3.5591929350675304,3.5591929350675304,IQR,outflow_daily_average
eus_fYnC96K9LNhM5wgXzAKcvp,outflow_daily_average,last_365_days,-7482.369123,balance,amount,Daily average outflow,2.5347485666161584,2.5347485666161584,IQR,outflow_daily_average
eus_TvVwrNJvF48xUgcuXqLKXP,outflow_daily_average,last_365_days,-7943.482685,balance,amount,Daily average outflow,2.7654128166390843,2.7654128166390843,IQR,outflow_daily_average
eus_avb47hn3MaRgBTBNFxob8L,outflow_daily_average,last_365_days,-10879.41033,balance,amount,Daily average outflow,4.234060898508989,4.234060898508989,IQR,outflow_daily_average
eus_guFTnCKn7sZEx8Cm8ZKQty,outflow_daily_average,last_365_days,-13094.1334,balance,amount,Daily average outflow,5.3419386059749465,5.3419386059749465,IQR,outflow_daily_average
eus_JmPbN6nWLS2oS9XcoRhMeY,outflow_daily_average,last_365_days,-11571.01715,balance,amount,Daily average outflow,4.580025497238446,4.580025497238446,IQR,outflow_daily_average
eus_KBVBcbaFgQDXroqDNpwbwb,outflow_daily_average,last_365_days,-13107.17912,balance,amount,Daily average outflow,5.348464506464095,5.348464506464095,IQR,outflow_daily_average
eus_Ygrn9HsoNCqeaJVDVPf84m,outflow_daily_average,last_365_days,-8376.432658,balance,amount,Daily average outflow,2.9819887082401446,2.9819887082401446,IQR,outflow_daily_average
eus_PpPSzV9o8G6ehA3oeFMzXF,outflow_daily_average,last_365_days,-6733.421178,balance,amount,Daily average outflow,2.160100041228314,2.160100041228314,IQR,outflow_daily_average
eus_muQ63CiyZorvBMsyMLsVUY,outflow_daily_average,last_365_days,-17766.20805,balance,amount,Daily average outflow,7.679064823905125,7.679064823905125,IQR,outflow_daily_average
eus_k9wiS4YL7SK6inyJV2ocag,outflow_daily_average,last_365_days,-166152.927,balance,amount,Daily average outflow,81.90700791781136,81.90700791781136,IQR,outflow_daily_average
eus_mpucMpMfq78bStinjgaq4U,outflow_daily_average,last_365_days,-26517.81477,balance,amount,Daily average outflow,12.056907869355166,12.056907869355166,IQR,outflow_daily_average
eus_SE5vMgKw3UeDXRQCRLa7aV,outflow_daily_average,last_365_days,-9356.093315,balance,amount,Daily average outflow,3.472047360481372,3.472047360481372,IQR,outflow_daily_average
eus_W7NokqUBz9f92LWbGLxM9S,outflow_daily_average,last_365_days,-6520.311863,balance,amount,Daily average outflow,2.053495715595024,2.053495715595024,IQR,outflow_daily_average
eus_ErGmymCXqFS4ZXgPKVQTW5,outflow_daily_average,last_365_days,-5538.511507,balance,amount,Daily average outflow,1.5623667151667489,1.5623667151667489,IQR,outflow_daily_average
eus_WQT7NNsuuuVkDmcy7Fqrf7,outflow_daily_average,last_365_days,-140016.2148,balance,amount,Daily average outflow,68.83256028818806,68.83256028818806,IQR,outflow_daily_average
eus_cRacRFEfeZ6iRkVbyiYTpz,outflow_daily_average,last_365_days,-6893.442137,balance,amount,Daily average outflow,2.240147815871048,2.240147815871048,IQR,outflow_daily_average
eus_T2K27jz9XgjHzMqRFmWZyM,outflow_daily_average,last_365_days,-14348.42416,balance,amount,Daily average outflow,5.969376316137298,5.969376316137298,IQR,outflow_daily_average
eus_iL2xiCohwqnH3cxBpwfL2S,outflow_daily_average,last_365_days,-20402.6074,balance,amount,Daily average outflow,8.997878948978894,8.997878948978894,IQR,outflow_daily_average
eus_Sf6q3tFMsx4JuuFVFLuY7C,outflow_daily_average,last_365_days,-19106.74471,balance,amount,Daily average outflow,8.349645584891585,8.349645584891585,IQR,outflow_daily_average
eus_MuEwbUdTRUZH5AbunkHgGZ,outflow_daily_average,last_365_days,-24275.66129,balance,amount,Daily average outflow,10.935308563845057,10.935308563845057,IQR,outflow_daily_average
eus_BoshMCo7zeGgaxyxhsRivo,outflow_daily_average,last_365_days,-5616.85137,balance,amount,Daily average outflow,1.6015549048773645,1.6015549048773645,IQR,outflow_daily_average
