heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,weekday_balance_average,last_90_days,549540.2857142857,balance,amount,Average weekday balance,9.41984563157894,9.41984563157894,IQR,weekday_balance_average
eus_9JzxpuzmBqp5W5dapzx7Cr,weekday_balance_average,last_90_days,788007.9106349206,balance,amount,Average weekday balance,13.948093844240935,13.948093844240935,IQR,weekday_balance_average
eus_avb47hn3MaRgBTBNFxob8L,weekday_balance_average,last_90_days,445270.1967741936,balance,amount,Average weekday balance,7.4398668229913145,7.4398668229913145,IQR,weekday_balance_average
eus_JmPbN6nWLS2oS9XcoRhMeY,weekday_balance_average,last_90_days,424144.1164,balance,amount,Average weekday balance,7.038704880246113,7.038704880246113,IQR,weekday_balance_average
eus_PhY6cobDJdpYC2VpzKcVDT,weekday_balance_average,last_90_days,277408.3298,balance,amount,Average weekday balance,4.2523473458590395,4.2523473458590395,IQR,weekday_balance_average
eus_fKJBfNT7CB4bV5oJJyTu8b,weekday_balance_average,last_90_days,142471.7828,balance,amount,Average weekday balance,1.6900449034252343,1.6900449034252343,IQR,weekday_balance_average
eus_8q6YmYXTqfCwYM3P75qqip,weekday_balance_average,last_90_days,226512.69523809524,balance,amount,Average weekday balance,3.285893026057993,3.285893026057993,IQR,weekday_balance_average
eus_PbadunUhuXT53Tj2hVYrgV,weekday_balance_average,last_90_days,212806.9498,balance,amount,Average weekday balance,3.025635402810768,3.025635402810768,IQR,weekday_balance_average
eus_6ujJHMeGbGVGfd8cZFCrPX,weekday_balance_average,last_90_days,161492.60744186043,balance,amount,Average weekday balance,2.0512302644004494,2.0512302644004494,IQR,weekday_balance_average
eus_muQ63CiyZorvBMsyMLsVUY,weekday_balance_average,last_90_days,249168.2849206349,balance,amount,Average weekday balance,3.716098734362871,3.716098734362871,IQR,weekday_balance_average
eus_k9wiS4YL7SK6inyJV2ocag,weekday_balance_average,last_90_days,542365.8065079366,balance,amount,Average weekday balance,9.28360985259744,9.28360985259744,IQR,weekday_balance_average
eus_mpucMpMfq78bStinjgaq4U,weekday_balance_average,last_90_days,147537.66919354838,balance,amount,Average weekday balance,1.786240733004905,1.786240733004905,IQR,weekday_balance_average
eus_264GctgNhcqHemTqT2DgGy,weekday_balance_average,last_90_days,181439.70816666668,balance,amount,Average weekday balance,2.4300046294110214,2.4300046294110214,IQR,weekday_balance_average
eus_Ey5YLt4CkQugXTfd4ntErb,weekday_balance_average,last_90_days,201378.797,balance,amount,Average weekday balance,2.808626857068548,2.808626857068548,IQR,weekday_balance_average
eus_WQT7NNsuuuVkDmcy7Fqrf7,weekday_balance_average,last_90_days,3112162.39,balance,amount,Average weekday balance,58.08133151387399,58.08133151387399,IQR,weekday_balance_average
eus_T2K27jz9XgjHzMqRFmWZyM,weekday_balance_average,last_90_days,597426.7517460317,balance,amount,Average weekday balance,10.329159020728184,10.329159020728184,IQR,weekday_balance_average
eus_Sf6q3tFMsx4JuuFVFLuY7C,weekday_balance_average,last_90_days,705382.5605454545,balance,amount,Average weekday balance,12.379125754808594,12.379125754808594,IQR,weekday_balance_average
eus_JChSBsnFxCf7R7PCTTVpAv,weekday_balance_average,last_90_days,355126.5472,balance,amount,Average weekday balance,5.72813417079996,5.72813417079996,IQR,weekday_balance_average
eus_MuEwbUdTRUZH5AbunkHgGZ,weekday_balance_average,last_90_days,-2148079.289,balance,amount,Average weekday balance,40.80509956468176,40.80509956468176,IQR,weekday_balance_average
eus_Qf5bes8uiAh9sULobtGpGR,weekday_balance_average,last_90_days,159351.5673846154,balance,amount,Average weekday balance,2.0105741761130593,2.0105741761130593,IQR,weekday_balance_average
eus_UnZEKzRGc8AV5PmHBFwSnk,weekday_balance_average,last_90_days,1368560.0341269842,balance,amount,Average weekday balance,24.97216521004998,24.97216521004998,IQR,weekday_balance_average
eus_4VXSCYGf7m2uWwqsPyvwbx,weekday_balance_average,last_90_days,155433.4276190476,balance,amount,Average weekday balance,1.9361728421948932,1.9361728421948932,IQR,weekday_balance_average
