heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_eX5AZxTaxhqS7HxZxQEWjT,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_2dSsKagTuhyXrWjB9G2Bfg,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_aJx4YDv3kCm93fRbRwdhyd,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_gc6DCMnJsZKJYcJH3o3bKZ,accounts,latest,58.0,data_quality,n,The number of unique account_id,17.666666666666668,17.666666666666668,IQR,accounts
eus_UP27YtCfwjMrzauHZCGnwj,accounts,latest,16.0,data_quality,n,The number of unique account_id,3.6666666666666665,3.6666666666666665,IQR,accounts
eus_GpcrpTzs73TAsZXpWfqt7J,accounts,latest,13.0,data_quality,n,The number of unique account_id,2.6666666666666665,2.6666666666666665,IQR,accounts
eus_264GctgNhcqHemTqT2DgGy,accounts,latest,56.0,data_quality,n,The number of unique account_id,17.0,17.0,IQR,accounts
eus_WQT7NNsuuuVkDmcy7Fqrf7,accounts,latest,21.0,data_quality,n,The number of unique account_id,5.333333333333333,5.333333333333333,IQR,accounts
eus_Sf6q3tFMsx4JuuFVFLuY7C,accounts,latest,12.0,data_quality,n,The number of unique account_id,2.3333333333333335,2.3333333333333335,IQR,accounts
eus_MuEwbUdTRUZH5AbunkHgGZ,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_ZN5FHc88GcwV4TkxwNQNAd,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
eus_iDeP6fiwAqNAzhtu22dKyR,accounts,latest,16.0,data_quality,n,The number of unique account_id,3.6666666666666665,3.6666666666666665,IQR,accounts
eus_NrkjH9wkXoCsKpGv8zibyP,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_BzLgPQ9wvcc6pANBZRZhbc,accounts,latest,14.0,data_quality,n,The number of unique account_id,3.0,3.0,IQR,accounts
eus_C9xZHaxi9mVZDieFSGpHmi,accounts,latest,32.0,data_quality,n,The number of unique account_id,9.0,9.0,IQR,accounts
eus_e4aJCzEiZZVrjxMUxhw5rB,accounts,latest,38.0,data_quality,n,The number of unique account_id,11.0,11.0,IQR,accounts
eus_ZnAspeqCZHGthY4cX5wm7Y,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
eus_DnU35Rjxh6DG3wwsM3kHGQ,accounts,latest,18.0,data_quality,n,The number of unique account_id,4.333333333333333,4.333333333333333,IQR,accounts
eus_KCWTCzboxLffjpa356Pk8Y,accounts,latest,13.0,data_quality,n,The number of unique account_id,2.6666666666666665,2.6666666666666665,IQR,accounts
eus_dmgHDSBBr7j2aJbSVyBnoZ,accounts,latest,26.0,data_quality,n,The number of unique account_id,7.0,7.0,IQR,accounts
eus_4oiQv5nJjd9qQVcSvCMYSX,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
eus_ehZ4PeZQSyHNbYUGmcwYJG,accounts,latest,14.0,data_quality,n,The number of unique account_id,3.0,3.0,IQR,accounts
eus_34Bs4dw59HxLSAyRjybps4,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_YFepmbwb7vmxkvvj6UaHsZ,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_ERgBEWBSJW2bQfHpQQKSkv,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
eus_ZzwmLf8twnD94HA5TXVGdA,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_hg5fuMKjYxiXyfyUcHhCXy,accounts,latest,12.0,data_quality,n,The number of unique account_id,2.3333333333333335,2.3333333333333335,IQR,accounts
eus_by3Zbczv6aHpj8u6kgNULx,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
eus_V7fmonTkxdx3YbseWGRnV6,accounts,latest,51.0,data_quality,n,The number of unique account_id,15.333333333333334,15.333333333333334,IQR,accounts
eus_UF4YzqH6fsofqgZKqDW8ka,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
eus_4rejW2FexfJ9dQps5BAgk4,accounts,latest,13.0,data_quality,n,The number of unique account_id,2.6666666666666665,2.6666666666666665,IQR,accounts
eus_HJGYATZZwg6KqK34HNYdHm,accounts,latest,16.0,data_quality,n,The number of unique account_id,3.6666666666666665,3.6666666666666665,IQR,accounts
eus_esaihp4pDcMZekuFk9h2SH,accounts,latest,12.0,data_quality,n,The number of unique account_id,2.3333333333333335,2.3333333333333335,IQR,accounts
eus_EouGa4YsSK7wGUMuzGGCKL,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_5zuDQGdgAzhrAthmjnQc5R,accounts,latest,16.0,data_quality,n,The number of unique account_id,3.6666666666666665,3.6666666666666665,IQR,accounts
eus_VEqV9eo3iFtMsJddT2YqFg,accounts,latest,18.0,data_quality,n,The number of unique account_id,4.333333333333333,4.333333333333333,IQR,accounts
eus_EFk7UNEQxt2Pfshb9JNcLf,accounts,latest,184.0,data_quality,n,The number of unique account_id,59.666666666666664,59.666666666666664,IQR,accounts
eus_nAkStkgPPSEFaw87657De5,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
eus_TkZX8TB3JkHfupd8WFXLME,accounts,latest,12.0,data_quality,n,The number of unique account_id,2.3333333333333335,2.3333333333333335,IQR,accounts
eus_Ukh9zD9QSi6i98p9SPsV2o,accounts,latest,13.0,data_quality,n,The number of unique account_id,2.6666666666666665,2.6666666666666665,IQR,accounts
eus_8qMtcnLXiFe2iBMZ8pd9Cs,accounts,latest,24.0,data_quality,n,The number of unique account_id,6.333333333333333,6.333333333333333,IQR,accounts
eus_6wGjKWST5mXPTFtRbqsNfA,accounts,latest,17.0,data_quality,n,The number of unique account_id,4.0,4.0,IQR,accounts
eus_GrnwNTdYTFuX9uRFhBqWhr,accounts,latest,12.0,data_quality,n,The number of unique account_id,2.3333333333333335,2.3333333333333335,IQR,accounts
eus_4y2qjh4NgM7vvypqLa2gni,accounts,latest,12.0,data_quality,n,The number of unique account_id,2.3333333333333335,2.3333333333333335,IQR,accounts
eus_DgeQPocwNztvi39JcA4xG3,accounts,latest,19.0,data_quality,n,The number of unique account_id,4.666666666666667,4.666666666666667,IQR,accounts
eus_JMoMD34JF2n3aiQxWDjR6b,accounts,latest,15.0,data_quality,n,The number of unique account_id,3.3333333333333335,3.3333333333333335,IQR,accounts
eus_CLL4viVihBjooG4hkixVVM,accounts,latest,14.0,data_quality,n,The number of unique account_id,3.0,3.0,IQR,accounts
eus_JdqYya8bAmFo5XnymnyREL,accounts,latest,13.0,data_quality,n,The number of unique account_id,2.6666666666666665,2.6666666666666665,IQR,accounts
eus_5aD4es6MMroF8MHjg8BcSw,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_Cw7E3jJVeuSXiyGB8x5MnL,accounts,latest,16.0,data_quality,n,The number of unique account_id,3.6666666666666665,3.6666666666666665,IQR,accounts
eus_HrshvesEBrt9g9RJ5UmdUS,accounts,latest,14.0,data_quality,n,The number of unique account_id,3.0,3.0,IQR,accounts
eus_UyAtANKnET3oKAWLRy9CzM,accounts,latest,15.0,data_quality,n,The number of unique account_id,3.3333333333333335,3.3333333333333335,IQR,accounts
eus_4pvpkcZ4K7ijmSkD2mAbk6,accounts,latest,12.0,data_quality,n,The number of unique account_id,2.3333333333333335,2.3333333333333335,IQR,accounts
eus_9o4fEK4vxqyBhi9pkggaNh,accounts,latest,15.0,data_quality,n,The number of unique account_id,3.3333333333333335,3.3333333333333335,IQR,accounts
eus_4C4mJ7cAbSFhHGkpo4dYs4,accounts,latest,30.0,data_quality,n,The number of unique account_id,8.333333333333334,8.333333333333334,IQR,accounts
eus_QHEs8xJvh85FetpMPsxbEw,accounts,latest,12.0,data_quality,n,The number of unique account_id,2.3333333333333335,2.3333333333333335,IQR,accounts
eus_ddnSFPVyg76bGNq2ZEo826,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
eus_UqbRXcpuXaoNSV338wXvRF,accounts,latest,29.0,data_quality,n,The number of unique account_id,8.0,8.0,IQR,accounts
eus_kPBKyJuR8PakMDE6xtAT6r,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
eus_L8qwooxABDqcjUFLJSfoW9,accounts,latest,40.0,data_quality,n,The number of unique account_id,11.666666666666666,11.666666666666666,IQR,accounts
eus_NAPAnBoBk672tMbRcbdTtM,accounts,latest,11.0,data_quality,n,The number of unique account_id,2.0,2.0,IQR,accounts
eus_GwDB7Fa9aiYoo38u44kpTy,accounts,latest,14.0,data_quality,n,The number of unique account_id,3.0,3.0,IQR,accounts
eus_eWLL6BrcgTf4z84RJoKJZ4,accounts,latest,13.0,data_quality,n,The number of unique account_id,2.6666666666666665,2.6666666666666665,IQR,accounts
eus_JQaMd22oWdbsWTz8RZpS8P,accounts,latest,14.0,data_quality,n,The number of unique account_id,3.0,3.0,IQR,accounts
eus_A9ymu9LT9qmi3aRKgdDKoJ,accounts,latest,10.0,data_quality,n,The number of unique account_id,1.6666666666666667,1.6666666666666667,IQR,accounts
