heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_PLh3KYeaMc3whfzMrJnN6x,confidence,latest,0.5462675852986267,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",2.0364350661681376,2.0364350661681376,IQR,confidence
eus_JGWAtbjWFUYCrAF52rFdP9,confidence,latest,0.5412815368825691,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",2.095027136315174,2.095027136315174,IQR,confidence
eus_A5qxHwdCQj4B2RDVjoEdc7,confidence,latest,0.5802093999821577,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.637577890924825,1.637577890924825,IQR,confidence
eus_Ad59tmVvE4hcsYLKpNvfba,confidence,latest,0.5627023675364086,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.8433065938038928,1.8433065938038928,IQR,confidence
eus_MAnKZE5VSHALVndULuY2mq,confidence,latest,0.5601641152890716,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.8731341127762076,1.8731341127762076,IQR,confidence
eus_36Gi8SJryLYycgVdkxLjYs,confidence,latest,0.5611321166058949,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.8617589322073476,1.8617589322073476,IQR,confidence
eus_UTdiJmAKvEWiveNznN79rZ,confidence,latest,0.5912136717322608,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.5082644530082139,1.5082644530082139,IQR,confidence
eus_4rPHtTXZoXU8VrU5hwGCXL,confidence,latest,0.4972916981714335,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",2.6119606877862998,2.6119606877862998,IQR,confidence
eus_PUPqoAAJVfPAhV9nRoNVef,confidence,latest,0.9524187492282732,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.736329957658511,1.736329957658511,IQR,confidence
eus_AvXY6njPfmqoCUL4eXXkpn,confidence,latest,0.9578261383172946,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.7998732878427712,1.7998732878427712,IQR,confidence
eus_YNmEBVXESqWwDi2gKBPSr6,confidence,latest,0.4568811489611349,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",3.0868332795535056,3.0868332795535056,IQR,confidence
eus_MPEcghWFKkA5bPDc4ajFHA,confidence,latest,0.5719203542439647,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.7349841551279723,1.7349841551279723,IQR,confidence
eus_bg9bQ6DR8z4jskaj9LtUvT,confidence,latest,0.9507120294319829,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.7162739458268716,1.7162739458268716,IQR,confidence
eus_kRqLqdqyFhEfosCdCSYdCr,confidence,latest,0.4254486736906528,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",3.4562026964271686,3.4562026964271686,IQR,confidence
eus_TuCRnTnB3YHCZ4ediHNufA,confidence,latest,0.526163654,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",2.2726804562222713,2.2726804562222713,IQR,confidence
eus_NS2eL9iULiTQbcf9zpGDJg,confidence,latest,0.5562860409560094,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.9187061538792223,1.9187061538792223,IQR,confidence
eus_HpULqAe2FbPYaCqP5y4JRZ,confidence,latest,0.5862397121857964,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.5667144643872435,1.5667144643872435,IQR,confidence
eus_n88ujv2Z2vUJc3CMCw43MB,confidence,latest,0.5912075954110052,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.5083358570964889,1.5083358570964889,IQR,confidence
eus_kAVGFLWsG68FaBzMgtyCvf,confidence,latest,0.576034098515006,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.68664270859898,1.68664270859898,IQR,confidence
eus_QYr5ZtHpqtnUApKTsmj79w,confidence,latest,0.5915287492469871,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.5045619129796932,1.5045619129796932,IQR,confidence
eus_nXyRJ5vQYStjZtDzUpBtry,confidence,latest,0.5828259293280097,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.6068305218298504,1.6068305218298504,IQR,confidence
eus_mw3yFk6qmBrVH4cPFi6rD7,confidence,latest,0.5710763451631211,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.7449022776857601,1.7449022776857601,IQR,confidence
eus_39eEPRvrUpYmgN4FWWNegn,confidence,latest,0.5854123103372563,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.5764374319768326,1.5764374319768326,IQR,confidence
eus_oLPwTLKBtBVDnnuHFhhmNb,confidence,latest,0.5611058017527264,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.8620681634049012,1.8620681634049012,IQR,confidence
eus_TJ9bQ5oieDSLRsBUKJBRQf,confidence,latest,0.5537517227681606,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.9484874429174768,1.9484874429174768,IQR,confidence
eus_NwpuuCXmsfPqpXr9F5Wq4i,confidence,latest,0.5731363740777518,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.72069445846719,1.72069445846719,IQR,confidence
eus_j9FrAYZf5sjk2JnpqTzwP7,confidence,latest,0.579515954,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.6457267158537836,1.6457267158537836,IQR,confidence
eus_9XYpvqvzCcwDj6rUZQLduy,confidence,latest,0.5613863159876697,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",1.8587717835145434,1.8587717835145434,IQR,confidence
eus_ZKJwYjivry8DhkooARubhn,confidence,latest,0.4713033305040809,data_quality,ratio,"The overall confidence score for the company, based on label confidence and method",2.9173552877401563,2.9173552877401563,IQR,confidence
