heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,data_volume,latest,13729.0,data_quality,n,The number of unique transactions with timestamps,1.6434606100504718,1.6434606100504718,IQR,data_volume
eus_fuEpPTBaZynQfEdEk6WLpX,data_volume,latest,13166.0,data_quality,n,The number of unique transactions with timestamps,1.519914417379855,1.519914417379855,IQR,data_volume
eus_avb47hn3MaRgBTBNFxob8L,data_volume,latest,15774.0,data_quality,n,The number of unique transactions with timestamps,2.0922207592714503,2.0922207592714503,IQR,data_volume
eus_U5GX9hWJNDwPTVZArwWfqW,data_volume,latest,14627.0,data_quality,n,The number of unique transactions with timestamps,1.8405200789993417,1.8405200789993417,IQR,data_volume
eus_4RQBhtRqo3czh4JpzQFXRC,data_volume,latest,16682.0,data_quality,n,The number of unique transactions with timestamps,2.2914746543778803,2.2914746543778803,IQR,data_volume
eus_JAULegdNuwnrV2FF3tfi2m,data_volume,latest,18156.0,data_quality,n,The number of unique transactions with timestamps,2.6149330700021944,2.6149330700021944,IQR,data_volume
eus_WQT7NNsuuuVkDmcy7Fqrf7,data_volume,latest,25779.0,data_quality,n,The number of unique transactions with timestamps,4.2877441299100285,4.2877441299100285,IQR,data_volume
eus_iVqtyJ7nFCRubW9xrDCShZ,data_volume,latest,16379.0,data_quality,n,The number of unique transactions with timestamps,2.224983541803818,2.224983541803818,IQR,data_volume
eus_GSBb8ieHv9kkfffweYv3mZ,data_volume,latest,14615.0,data_quality,n,The number of unique transactions with timestamps,1.83788676761027,1.83788676761027,IQR,data_volume
eus_JBxecVXUwREEvvNRGfJqhP,data_volume,latest,22351.0,data_quality,n,The number of unique transactions with timestamps,3.5354948430985296,3.5354948430985296,IQR,data_volume
eus_iDeP6fiwAqNAzhtu22dKyR,data_volume,latest,45994.0,data_quality,n,The number of unique transactions with timestamps,8.723776607417161,8.723776607417161,IQR,data_volume
eus_kDDqT4WbQg8VeJQNv8DTAc,data_volume,latest,14139.0,data_quality,n,The number of unique transactions with timestamps,1.7334320825104235,1.7334320825104235,IQR,data_volume
eus_caDP9bLpvUBJyZhhrtBew6,data_volume,latest,16161.0,data_quality,n,The number of unique transactions with timestamps,2.1771450515690147,2.1771450515690147,IQR,data_volume
eus_Tv6Y5GUyaaSu53JgtGYoyH,data_volume,latest,18545.0,data_quality,n,The number of unique transactions with timestamps,2.7002962475312704,2.7002962475312704,IQR,data_volume
eus_bwPNYF4ZWvQZzxhSqPCnhj,data_volume,latest,14179.0,data_quality,n,The number of unique transactions with timestamps,1.7422097871406628,1.7422097871406628,IQR,data_volume
eus_WgRRF5uNU4s4pfUbqZ5vRF,data_volume,latest,16254.0,data_quality,n,The number of unique transactions with timestamps,2.1975532148343206,2.1975532148343206,IQR,data_volume
eus_BzLgPQ9wvcc6pANBZRZhbc,data_volume,latest,17027.0,data_quality,n,The number of unique transactions with timestamps,2.3671823568136934,2.3671823568136934,IQR,data_volume
eus_C9xZHaxi9mVZDieFSGpHmi,data_volume,latest,30498.0,data_quality,n,The number of unique transactions with timestamps,5.323293833662497,5.323293833662497,IQR,data_volume
eus_e4aJCzEiZZVrjxMUxhw5rB,data_volume,latest,82380.0,data_quality,n,The number of unique transactions with timestamps,16.70841562431424,16.70841562431424,IQR,data_volume
eus_8UYcJTaxNfpB7FgtLLGKGJ,data_volume,latest,20650.0,data_quality,n,The number of unique transactions with timestamps,3.162222953697608,3.162222953697608,IQR,data_volume
eus_7NRU3ivSHxcJZdYFKha8tB,data_volume,latest,13912.0,data_quality,n,The number of unique transactions with timestamps,1.683618608733816,1.683618608733816,IQR,data_volume
eus_SWKigp9mE4KvrRqDb66u6H,data_volume,latest,14206.0,data_quality,n,The number of unique transactions with timestamps,1.748134737766074,1.748134737766074,IQR,data_volume
eus_4oiQv5nJjd9qQVcSvCMYSX,data_volume,latest,13753.0,data_quality,n,The number of unique transactions with timestamps,1.6487272328286153,1.6487272328286153,IQR,data_volume
eus_SyfqN9XT8GyGtQYyCC2kgb,data_volume,latest,16568.0,data_quality,n,The number of unique transactions with timestamps,2.2664581961816985,2.2664581961816985,IQR,data_volume
eus_j4LuMwkRrGNVeMBS5sMHNj,data_volume,latest,22775.0,data_quality,n,The number of unique transactions with timestamps,3.628538512179065,3.628538512179065,IQR,data_volume
eus_YFepmbwb7vmxkvvj6UaHsZ,data_volume,latest,13183.0,data_quality,n,The number of unique transactions with timestamps,1.523644941847707,1.523644941847707,IQR,data_volume
eus_ExY3xp65eWEyoGTRZ3BHc5,data_volume,latest,18568.0,data_quality,n,The number of unique transactions with timestamps,2.7053434276936583,2.7053434276936583,IQR,data_volume
eus_2iJXTGB72NNjnugYgV2RVm,data_volume,latest,17053.0,data_quality,n,The number of unique transactions with timestamps,2.372887864823349,2.372887864823349,IQR,data_volume
eus_m2t5Gvg5UWsxpcA9NMXYRJ,data_volume,latest,19243.0,data_quality,n,The number of unique transactions with timestamps,2.8534671933289446,2.8534671933289446,IQR,data_volume
eus_3FNNnj9RFuVsNBtFs3J8fo,data_volume,latest,13489.0,data_quality,n,The number of unique transactions with timestamps,1.5907943822690367,1.5907943822690367,IQR,data_volume
eus_o97QcMeXVmRWaRgSy2bZKo,data_volume,latest,27075.0,data_quality,n,The number of unique transactions with timestamps,4.572141759929778,4.572141759929778,IQR,data_volume
eus_iCig7BfB9JS3Ff3HcPHgcv,data_volume,latest,22581.0,data_quality,n,The number of unique transactions with timestamps,3.5859666447224052,3.5859666447224052,IQR,data_volume
eus_KbagCnQqWxabBkvRkLjSXQ,data_volume,latest,20011.0,data_quality,n,The number of unique transactions with timestamps,3.021999122229537,3.021999122229537,IQR,data_volume
eus_2AJ2MrpRqUn3pJoWFGMFya,data_volume,latest,14903.0,data_quality,n,The number of unique transactions with timestamps,1.901086240947992,1.901086240947992,IQR,data_volume
eus_NfasooUkGMNpFgTfxkAu3v,data_volume,latest,15055.0,data_quality,n,The number of unique transactions with timestamps,1.9344415185429011,1.9344415185429011,IQR,data_volume
eus_esaihp4pDcMZekuFk9h2SH,data_volume,latest,20419.0,data_quality,n,The number of unique transactions with timestamps,3.1115317094579766,3.1115317094579766,IQR,data_volume
eus_S6CZTSEYBiJs4z2rXDUbzV,data_volume,latest,16970.0,data_quality,n,The number of unique transactions with timestamps,2.3546741277156022,2.3546741277156022,IQR,data_volume
eus_A7mcoG2joihZwMKUrsTeQ4,data_volume,latest,13672.0,data_quality,n,The number of unique transactions with timestamps,1.630952380952381,1.630952380952381,IQR,data_volume
eus_a9o7eprxs2fCUuV7bXnnab,data_volume,latest,14809.0,data_quality,n,The number of unique transactions with timestamps,1.88045863506693,1.88045863506693,IQR,data_volume
eus_75VQaGN7QUcCzppoHvLtKt,data_volume,latest,14838.0,data_quality,n,The number of unique transactions with timestamps,1.8868224709238535,1.8868224709238535,IQR,data_volume
eus_Yi7DNhsN3CmfgF89hajrrw,data_volume,latest,15491.0,data_quality,n,The number of unique transactions with timestamps,2.030118499012508,2.030118499012508,IQR,data_volume
eus_6wGjKWST5mXPTFtRbqsNfA,data_volume,latest,25934.0,data_quality,n,The number of unique transactions with timestamps,4.321757735352206,4.321757735352206,IQR,data_volume
eus_FKj3ofUbf6YvtdGnBoa4ys,data_volume,latest,13310.0,data_quality,n,The number of unique transactions with timestamps,1.5515141540487163,1.5515141540487163,IQR,data_volume
eus_WpaW66fXUg5zUXFsk8URJV,data_volume,latest,23590.0,data_quality,n,The number of unique transactions with timestamps,3.807384244020189,3.807384244020189,IQR,data_volume
