heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_Y8fVSpRHQ7uNG4aaEA9TEP,date_range,latest,3436.0,data_quality,day,The number of days between earliest and latest transaction,2.721325403568394,2.721325403568394,IQR,date_range
eus_D79MmSN48CdtZEEtthKrm3,date_range,latest,4569.0,data_quality,day,The number of days between earliest and latest transaction,4.646559048428207,4.646559048428207,IQR,date_range
eus_4dheJbnAJWtPvL3gk9XQek,date_range,latest,4664.0,data_quality,day,The number of days between earliest and latest transaction,4.807986406117247,4.807986406117247,IQR,date_range
eus_JAULegdNuwnrV2FF3tfi2m,date_range,latest,3409.0,data_quality,day,The number of days between earliest and latest transaction,2.675446049277825,2.675446049277825,IQR,date_range
eus_gc6DCMnJsZKJYcJH3o3bKZ,date_range,latest,3049.0,data_quality,day,The number of days between earliest and latest transaction,2.0637213254035682,2.0637213254035682,IQR,date_range
eus_7nzoTu9g5Bk4ZotjUmH7nY,date_range,latest,4356.0,data_quality,day,The number of days between earliest and latest transaction,4.284621920135939,4.284621920135939,IQR,date_range
eus_iVqtyJ7nFCRubW9xrDCShZ,date_range,latest,4619.0,data_quality,day,The number of days between earliest and latest transaction,4.731520815632965,4.731520815632965,IQR,date_range
eus_Sf6q3tFMsx4JuuFVFLuY7C,date_range,latest,3067.0,data_quality,day,The number of days between earliest and latest transaction,2.0943075615972813,2.0943075615972813,IQR,date_range
eus_ZN5FHc88GcwV4TkxwNQNAd,date_range,latest,2937.0,data_quality,day,The number of days between earliest and latest transaction,1.8734069668649107,1.8734069668649107,IQR,date_range
eus_QhtxQjWocHexChjU9mYJme,date_range,latest,3701.0,data_quality,day,The number of days between earliest and latest transaction,3.171622769753611,3.171622769753611,IQR,date_range
eus_WgRRF5uNU4s4pfUbqZ5vRF,date_range,latest,3295.0,data_quality,day,The number of days between earliest and latest transaction,2.481733220050977,2.481733220050977,IQR,date_range
eus_e4aJCzEiZZVrjxMUxhw5rB,date_range,latest,3784.0,data_quality,day,The number of days between earliest and latest transaction,3.312659303313509,3.312659303313509,IQR,date_range
eus_XTcxLFF7DPb48gjq5mpBju,date_range,latest,4568.0,data_quality,day,The number of days between earliest and latest transaction,4.644859813084112,4.644859813084112,IQR,date_range
eus_8TcYSZ82UMGsKixxCN7UkW,date_range,latest,2818.0,data_quality,day,The number of days between earliest and latest transaction,1.671197960917587,1.671197960917587,IQR,date_range
eus_4E5nGBwFu94sB2RVZaXnG8,date_range,latest,3178.0,data_quality,day,The number of days between earliest and latest transaction,2.282922684791844,2.282922684791844,IQR,date_range
eus_2UWwpkWhvcGE6ewNjwNMCw,date_range,latest,3515.0,data_quality,day,The number of days between earliest and latest transaction,2.855564995751912,2.855564995751912,IQR,date_range
eus_R8kDHNEJaff4GQNvEEehAG,date_range,latest,4527.0,data_quality,day,The number of days between earliest and latest transaction,4.575191163976211,4.575191163976211,IQR,date_range
eus_TbcX37ENqWzBUbo6h4b4mV,date_range,latest,3649.0,data_quality,day,The number of days between earliest and latest transaction,3.0832625318606626,3.0832625318606626,IQR,date_range
eus_94Hzy8h4eLF22e4T6wmW3t,date_range,latest,3404.0,data_quality,day,The number of days between earliest and latest transaction,2.6669498725573493,2.6669498725573493,IQR,date_range
eus_bPgLFCJaKUtfBKtuG4hC2B,date_range,latest,3050.0,data_quality,day,The number of days between earliest and latest transaction,2.0654205607476634,2.0654205607476634,IQR,date_range
eus_4oiQv5nJjd9qQVcSvCMYSX,date_range,latest,2855.0,data_quality,day,The number of days between earliest and latest transaction,1.734069668649108,1.734069668649108,IQR,date_range
eus_8quYrGCXxNk7UfGguxWPZo,date_range,latest,3429.0,data_quality,day,The number of days between earliest and latest transaction,2.709430756159728,2.709430756159728,IQR,date_range
eus_m2t5Gvg5UWsxpcA9NMXYRJ,date_range,latest,4195.0,data_quality,day,The number of days between earliest and latest transaction,4.011045029736619,4.011045029736619,IQR,date_range
eus_XSiHodGqy2Hq9xGDKmZrdB,date_range,latest,4396.0,data_quality,day,The number of days between earliest and latest transaction,4.3525913338997455,4.3525913338997455,IQR,date_range
eus_NwMZJeKFTfxtyVQ9GpZ5bJ,date_range,latest,2852.0,data_quality,day,The number of days between earliest and latest transaction,1.7289719626168225,1.7289719626168225,IQR,date_range
eus_iCig7BfB9JS3Ff3HcPHgcv,date_range,latest,3477.0,data_quality,day,The number of days between earliest and latest transaction,2.7909940526762957,2.7909940526762957,IQR,date_range
eus_7mZCKoVmGpMdonhRVNijDQ,date_range,latest,2784.0,data_quality,day,The number of days between earliest and latest transaction,1.6134239592183517,1.6134239592183517,IQR,date_range
eus_RNFRcGrWEwBPQrn7xy3qvs,date_range,latest,4478.0,data_quality,day,The number of days between earliest and latest transaction,4.491928632115548,4.491928632115548,IQR,date_range
eus_2UhTRNdHgdSeydcpJGsxpw,date_range,latest,4457.0,data_quality,day,The number of days between earliest and latest transaction,4.45624468988955,4.45624468988955,IQR,date_range
eus_esaihp4pDcMZekuFk9h2SH,date_range,latest,2822.0,data_quality,day,The number of days between earliest and latest transaction,1.6779949022939677,1.6779949022939677,IQR,date_range
eus_St2kZZ8r4i2bku66N3L3ia,date_range,latest,2731.0,data_quality,day,The number of days between earliest and latest transaction,1.5233644859813085,1.5233644859813085,IQR,date_range
eus_5zuDQGdgAzhrAthmjnQc5R,date_range,latest,2946.0,data_quality,day,The number of days between earliest and latest transaction,1.8887000849617672,1.8887000849617672,IQR,date_range
eus_7pQWinoNoe9wvAowevyVYC,date_range,latest,3093.0,data_quality,day,The number of days between earliest and latest transaction,2.138487680543755,2.138487680543755,IQR,date_range
eus_Yi7DNhsN3CmfgF89hajrrw,date_range,latest,4599.0,data_quality,day,The number of days between earliest and latest transaction,4.697536108751062,4.697536108751062,IQR,date_range
eus_FKj3ofUbf6YvtdGnBoa4ys,date_range,latest,4150.0,data_quality,day,The number of days between earliest and latest transaction,3.9345794392523366,3.9345794392523366,IQR,date_range
eus_B2JK2yScYduJasr35vnkQJ,date_range,latest,4208.0,data_quality,day,The number of days between earliest and latest transaction,4.033135089209855,4.033135089209855,IQR,date_range
eus_L4M9NwrKY5T8ZVhmmQFwvY,date_range,latest,3012.0,data_quality,day,The number of days between earliest and latest transaction,2.0008496176720474,2.0008496176720474,IQR,date_range
eus_iXrGkaYM2XDmT54hUrxaZn,date_range,latest,2837.0,data_quality,day,The number of days between earliest and latest transaction,1.7034834324553951,1.7034834324553951,IQR,date_range
eus_DfZbUoCafoYrsZV9yRs5vK,date_range,latest,3552.0,data_quality,day,The number of days between earliest and latest transaction,2.9184367034834326,2.9184367034834326,IQR,date_range
eus_JMoMD34JF2n3aiQxWDjR6b,date_range,latest,4593.0,data_quality,day,The number of days between earliest and latest transaction,4.6873406966864914,4.6873406966864914,IQR,date_range
eus_82LVkuRRwTdDxgyM6Cf3HX,date_range,latest,4631.0,data_quality,day,The number of days between earliest and latest transaction,4.751911639762107,4.751911639762107,IQR,date_range
eus_m8SVB544QuvW4xbyLFdvrR,date_range,latest,3746.0,data_quality,day,The number of days between earliest and latest transaction,3.248088360237893,3.248088360237893,IQR,date_range
eus_L4NZawNGAiz3ZnAgZvPRXu,date_range,latest,4362.0,data_quality,day,The number of days between earliest and latest transaction,4.29481733220051,4.29481733220051,IQR,date_range
eus_PnQAcpEyxPUo63jY8rMZCG,date_range,latest,3591.0,data_quality,day,The number of days between earliest and latest transaction,2.9847068819031435,2.9847068819031435,IQR,date_range
eus_EszfuARAoZCVGVjUX55aCd,date_range,latest,3425.0,data_quality,day,The number of days between earliest and latest transaction,2.7026338147833475,2.7026338147833475,IQR,date_range
eus_RdisvKbnatkKvyEXWJWfPG,date_range,latest,3087.0,data_quality,day,The number of days between earliest and latest transaction,2.1282922684791843,2.1282922684791843,IQR,date_range
eus_6M8c45tf2JLLVNnznf8qnd,date_range,latest,3788.0,data_quality,day,The number of days between earliest and latest transaction,3.3194562446898894,3.3194562446898894,IQR,date_range
eus_bH5cXKosdnuNxKQAJUhf6g,date_range,latest,3502.0,data_quality,day,The number of days between earliest and latest transaction,2.8334749362786744,2.8334749362786744,IQR,date_range
eus_8QFDn7qBVp5GgHQdkeH4Ub,date_range,latest,4079.0,data_quality,day,The number of days between earliest and latest transaction,3.81393372982158,3.81393372982158,IQR,date_range
eus_cizQnjQC2U4FbwBrX48VKa,date_range,latest,3174.0,data_quality,day,The number of days between earliest and latest transaction,2.276125743415463,2.276125743415463,IQR,date_range
eus_M7LBaZB24YDtCxrzUW8gzX,date_range,latest,3628.0,data_quality,day,The number of days between earliest and latest transaction,3.0475785896346643,3.0475785896346643,IQR,date_range
eus_YFxhgD5DXWhXX2LLYgjdLq,date_range,latest,4493.0,data_quality,day,The number of days between earliest and latest transaction,4.517417162276975,4.517417162276975,IQR,date_range
eus_4ay5H6Eu74VhdaL3TmN3vW,date_range,latest,4541.0,data_quality,day,The number of days between earliest and latest transaction,4.598980458793543,4.598980458793543,IQR,date_range
