heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,inflows,last_120_days,423.0,data_quality,n,The number of inflows (Transaction.amount > 0),2.0846153846153848,2.0846153846153848,IQR,inflows
eus_aevWDqEJEXAC69bMUqXDWB,inflows,last_180_days,657.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.8846153846153846,3.8846153846153846,IQR,inflows
eus_aevWDqEJEXAC69bMUqXDWB,inflows,last_365_days,1710.0,data_quality,n,The number of inflows (Transaction.amount > 0),11.984615384615385,11.984615384615385,IQR,inflows
eus_LoNEbmyAahYf49pye4quTt,inflows,last_365_days,691.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.1461538461538465,4.1461538461538465,IQR,inflows
eus_ak6VH2ecLDS3KW5YTgYFax,inflows,last_120_days,366.0,data_quality,n,The number of inflows (Transaction.amount > 0),1.646153846153846,1.646153846153846,IQR,inflows
eus_ak6VH2ecLDS3KW5YTgYFax,inflows,last_180_days,548.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.046153846153846,3.046153846153846,IQR,inflows
eus_ak6VH2ecLDS3KW5YTgYFax,inflows,last_365_days,1037.0,data_quality,n,The number of inflows (Transaction.amount > 0),6.8076923076923075,6.8076923076923075,IQR,inflows
eus_TvVwrNJvF48xUgcuXqLKXP,inflows,last_365_days,470.0,data_quality,n,The number of inflows (Transaction.amount > 0),2.4461538461538463,2.4461538461538463,IQR,inflows
eus_Lb5P9Sh5ndchdQoL4nPQAE,inflows,last_365_days,391.0,data_quality,n,The number of inflows (Transaction.amount > 0),1.8384615384615384,1.8384615384615384,IQR,inflows
eus_RAhKH5PYjzc8kfSGX4Ekrp,inflows,last_365_days,643.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.776923076923077,3.776923076923077,IQR,inflows
eus_gtvuQcsjEiza6YUZVtNTZN,inflows,last_365_days,379.0,data_quality,n,The number of inflows (Transaction.amount > 0),1.7461538461538462,1.7461538461538462,IQR,inflows
eus_eX5AZxTaxhqS7HxZxQEWjT,inflows,last_365_days,658.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.8923076923076922,3.8923076923076922,IQR,inflows
eus_2dSsKagTuhyXrWjB9G2Bfg,inflows,last_365_days,393.0,data_quality,n,The number of inflows (Transaction.amount > 0),1.853846153846154,1.853846153846154,IQR,inflows
eus_avb47hn3MaRgBTBNFxob8L,inflows,last_365_days,532.0,data_quality,n,The number of inflows (Transaction.amount > 0),2.923076923076923,2.923076923076923,IQR,inflows
eus_KBVBcbaFgQDXroqDNpwbwb,inflows,last_180_days,369.0,data_quality,n,The number of inflows (Transaction.amount > 0),1.6692307692307693,1.6692307692307693,IQR,inflows
eus_KBVBcbaFgQDXroqDNpwbwb,inflows,last_365_days,695.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.176923076923077,4.176923076923077,IQR,inflows
eus_QFGySGTXbJPCYwRtGCrojR,inflows,last_365_days,533.0,data_quality,n,The number of inflows (Transaction.amount > 0),2.9307692307692306,2.9307692307692306,IQR,inflows
eus_KV3ESfGr5hN5PRFmKpELTk,inflows,last_120_days,360.0,data_quality,n,The number of inflows (Transaction.amount > 0),1.6,1.6,IQR,inflows
eus_KV3ESfGr5hN5PRFmKpELTk,inflows,last_180_days,729.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.438461538461539,4.438461538461539,IQR,inflows
eus_KV3ESfGr5hN5PRFmKpELTk,inflows,last_365_days,1261.0,data_quality,n,The number of inflows (Transaction.amount > 0),8.53076923076923,8.53076923076923,IQR,inflows
eus_Qho5yx7CDsqGdJdFCo5BjM,inflows,last_180_days,388.0,data_quality,n,The number of inflows (Transaction.amount > 0),1.8153846153846154,1.8153846153846154,IQR,inflows
eus_Qho5yx7CDsqGdJdFCo5BjM,inflows,last_365_days,660.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.9076923076923076,3.9076923076923076,IQR,inflows
eus_DSskDMBD7ju8gSg9pUFWMC,inflows,last_365_days,390.0,data_quality,n,The number of inflows (Transaction.amount > 0),1.8307692307692307,1.8307692307692307,IQR,inflows
eus_7Sz7ZjwhKFmYsb7V3SL2HS,inflows,last_365_days,384.0,data_quality,n,The number of inflows (Transaction.amount > 0),1.7846153846153847,1.7846153846153847,IQR,inflows
