heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,inflows,last_365_days,1710.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.591667252039493,Z-score,inflows
eus_ak6VH2ecLDS3KW5YTgYFax,inflows,last_365_days,1037.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.1932585079355755,Z-score,inflows
eus_KV3ESfGr5hN5PRFmKpELTk,inflows,last_365_days,1261.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.9915401701633284,Z-score,inflows
eus_jEUewpRiwUPfLajhYdUvMy,inflows,last_365_days,1316.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.187546828299607,Z-score,inflows
eus_YhU6be3JvVENKXnwxrMPfJ,inflows,last_365_days,1895.0,data_quality,n,The number of inflows (Transaction.amount > 0),6.250962374861522,Z-score,inflows
eus_mpucMpMfq78bStinjgaq4U,inflows,last_180_days,1228.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.8739361752815613,Z-score,inflows
eus_mpucMpMfq78bStinjgaq4U,inflows,last_365_days,2311.0,data_quality,n,The number of inflows (Transaction.amount > 0),7.733485461855919,Z-score,inflows
eus_SE5vMgKw3UeDXRQCRLa7aV,inflows,last_365_days,1658.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.406351866165194,Z-score,inflows
eus_WQT7NNsuuuVkDmcy7Fqrf7,inflows,last_365_days,1552.0,data_quality,n,The number of inflows (Transaction.amount > 0),5.028593579575275,Z-score,inflows
eus_JBxecVXUwREEvvNRGfJqhP,inflows,last_365_days,1848.0,data_quality,n,The number of inflows (Transaction.amount > 0),6.08346577609052,Z-score,inflows
eus_T2K27jz9XgjHzMqRFmWZyM,inflows,last_365_days,1233.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.8917549623848595,Z-score,inflows
eus_Sf6q3tFMsx4JuuFVFLuY7C,inflows,last_365_days,1374.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.394244758697864,Z-score,inflows
eus_MuEwbUdTRUZH5AbunkHgGZ,inflows,last_365_days,999.0,data_quality,n,The number of inflows (Transaction.amount > 0),3.0578357259505107,Z-score,inflows
eus_fiAfDypTH62hTM2NDZQKsn,inflows,last_365_days,1935.0,data_quality,n,The number of inflows (Transaction.amount > 0),6.393512671687906,Z-score,inflows
eus_iDeP6fiwAqNAzhtu22dKyR,inflows,last_365_days,1421.0,data_quality,n,The number of inflows (Transaction.amount > 0),4.5617413574688666,Z-score,inflows
