heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,outflows,last_90_days,859.0,data_quality,n,The number of outflows (Transaction.amount < 0),1.5454545454545454,1.5454545454545454,IQR,outflows
eus_aevWDqEJEXAC69bMUqXDWB,outflows,last_120_days,1129.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.399209486166008,2.399209486166008,IQR,outflows
eus_aevWDqEJEXAC69bMUqXDWB,outflows,last_180_days,1599.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.8853754940711465,3.8853754940711465,IQR,outflows
eus_aevWDqEJEXAC69bMUqXDWB,outflows,last_365_days,3089.0,data_quality,n,The number of outflows (Transaction.amount < 0),8.596837944664031,8.596837944664031,IQR,outflows
eus_fuEpPTBaZynQfEdEk6WLpX,outflows,last_180_days,977.0,data_quality,n,The number of outflows (Transaction.amount < 0),1.9185770750988143,1.9185770750988143,IQR,outflows
eus_fuEpPTBaZynQfEdEk6WLpX,outflows,last_365_days,1931.0,data_quality,n,The number of outflows (Transaction.amount < 0),4.935177865612649,4.935177865612649,IQR,outflows
eus_ciCwj9BqFEZ42TRohXdviq,outflows,last_365_days,1496.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.559683794466403,3.559683794466403,IQR,outflows
eus_oMDiVd3FoChnTdnnSkHb62,outflows,last_365_days,1250.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.7818181818181817,2.7818181818181817,IQR,outflows
eus_VW2rjtHBDJbyFN92mrX6tM,outflows,last_365_days,1278.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.8703557312252963,2.8703557312252963,IQR,outflows
eus_TvVwrNJvF48xUgcuXqLKXP,outflows,last_365_days,1332.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.041106719367589,3.041106719367589,IQR,outflows
eus_Lb5P9Sh5ndchdQoL4nPQAE,outflows,last_365_days,1504.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.5849802371541504,3.5849802371541504,IQR,outflows
eus_eX5AZxTaxhqS7HxZxQEWjT,outflows,last_180_days,1116.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.358102766798419,2.358102766798419,IQR,outflows
eus_eX5AZxTaxhqS7HxZxQEWjT,outflows,last_365_days,2199.0,data_quality,n,The number of outflows (Transaction.amount < 0),5.782608695652174,5.782608695652174,IQR,outflows
eus_avb47hn3MaRgBTBNFxob8L,outflows,last_120_days,887.0,data_quality,n,The number of outflows (Transaction.amount < 0),1.63399209486166,1.63399209486166,IQR,outflows
eus_avb47hn3MaRgBTBNFxob8L,outflows,last_180_days,1313.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.98102766798419,2.98102766798419,IQR,outflows
eus_avb47hn3MaRgBTBNFxob8L,outflows,last_365_days,2762.0,data_quality,n,The number of outflows (Transaction.amount < 0),7.562845849802372,7.562845849802372,IQR,outflows
eus_JmPbN6nWLS2oS9XcoRhMeY,outflows,last_365_days,1125.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.3865612648221344,2.3865612648221344,IQR,outflows
eus_U5GX9hWJNDwPTVZArwWfqW,outflows,last_120_days,1047.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.139920948616601,2.139920948616601,IQR,outflows
eus_U5GX9hWJNDwPTVZArwWfqW,outflows,last_180_days,1582.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.831620553359684,3.831620553359684,IQR,outflows
eus_U5GX9hWJNDwPTVZArwWfqW,outflows,last_365_days,2993.0,data_quality,n,The number of outflows (Transaction.amount < 0),8.293280632411067,8.293280632411067,IQR,outflows
eus_fKJBfNT7CB4bV5oJJyTu8b,outflows,last_365_days,1527.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.657707509881423,3.657707509881423,IQR,outflows
eus_Qho5yx7CDsqGdJdFCo5BjM,outflows,last_180_days,1075.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.2284584980237154,2.2284584980237154,IQR,outflows
eus_Qho5yx7CDsqGdJdFCo5BjM,outflows,last_365_days,1999.0,data_quality,n,The number of outflows (Transaction.amount < 0),5.150197628458498,5.150197628458498,IQR,outflows
eus_oSDiFaKJS8ky2R5QPFbCBB,outflows,last_365_days,1576.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.8126482213438737,3.8126482213438737,IQR,outflows
eus_KHBfD5NppjnQVNecZ46zp4,outflows,last_365_days,1142.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.440316205533597,2.440316205533597,IQR,outflows
eus_RArEP7AJjRm25bKaDcCxmR,outflows,last_365_days,1125.0,data_quality,n,The number of outflows (Transaction.amount < 0),2.3865612648221344,2.3865612648221344,IQR,outflows
eus_4RQBhtRqo3czh4JpzQFXRC,outflows,last_120_days,996.0,data_quality,n,The number of outflows (Transaction.amount < 0),1.9786561264822133,1.9786561264822133,IQR,outflows
eus_4RQBhtRqo3czh4JpzQFXRC,outflows,last_180_days,1639.0,data_quality,n,The number of outflows (Transaction.amount < 0),4.011857707509882,4.011857707509882,IQR,outflows
