heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,outflows,last_365_days,3089.0,data_quality,n,The number of outflows (Transaction.amount < 0),4.997562286935676,Z-score,outflows
eus_eX5AZxTaxhqS7HxZxQEWjT,outflows,last_365_days,2199.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.385867883898172,Z-score,outflows
eus_avb47hn3MaRgBTBNFxob8L,outflows,last_365_days,2762.0,data_quality,n,The number of outflows (Transaction.amount < 0),4.40540041076347,Z-score,outflows
eus_U5GX9hWJNDwPTVZArwWfqW,outflows,last_365_days,2993.0,data_quality,n,The number of outflows (Transaction.amount < 0),4.823716598518148,Z-score,outflows
eus_Qho5yx7CDsqGdJdFCo5BjM,outflows,last_365_days,1999.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.023689366361654,Z-score,outflows
eus_4RQBhtRqo3czh4JpzQFXRC,outflows,last_365_days,4121.0,data_quality,n,The number of outflows (Transaction.amount < 0),6.866403437424109,Z-score,outflows
eus_muQ63CiyZorvBMsyMLsVUY,outflows,last_365_days,2068.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.1486409549117527,Z-score,outflows
eus_hmL4KzEB7PBPaQSRyRC7b6,outflows,last_365_days,2047.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.110612210570418,Z-score,outflows
eus_WQT7NNsuuuVkDmcy7Fqrf7,outflows,last_120_days,2620.0,data_quality,n,The number of outflows (Transaction.amount < 0),4.148253663312542,Z-score,outflows
eus_WQT7NNsuuuVkDmcy7Fqrf7,outflows,last_180_days,4066.0,data_quality,n,The number of outflows (Transaction.amount < 0),6.7668043451015665,Z-score,outflows
eus_WQT7NNsuuuVkDmcy7Fqrf7,outflows,last_365_days,8263.0,data_quality,n,The number of outflows (Transaction.amount < 0),14.367120535605396,Z-score,outflows
eus_GSBb8ieHv9kkfffweYv3mZ,outflows,last_365_days,2288.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.5470373242019226,Z-score,outflows
eus_JBxecVXUwREEvvNRGfJqhP,outflows,last_365_days,3265.0,data_quality,n,The number of outflows (Transaction.amount < 0),5.316279382367813,Z-score,outflows
eus_cUoKfC7ZkFkVn5nHPWQMgj,outflows,last_365_days,2565.0,data_quality,n,The number of outflows (Transaction.amount < 0),4.04865457099,Z-score,outflows
eus_K9iEWgQhxtv9Y3d6pwyaoF,outflows,last_365_days,2045.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.106990425395053,Z-score,outflows
eus_UBShcmnhWbDbAvRPXT49Tk,outflows,last_365_days,2664.0,data_quality,n,The number of outflows (Transaction.amount < 0),4.227932937170576,Z-score,outflows
eus_BoshMCo7zeGgaxyxhsRivo,outflows,last_365_days,2311.0,data_quality,n,The number of outflows (Transaction.amount < 0),3.588687853718622,Z-score,outflows
