heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_LoNEbmyAahYf49pye4quTt,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_Y8fVSpRHQ7uNG4aaEA9TEP,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_ak6VH2ecLDS3KW5YTgYFax,revenue_anomalies,latest,5.0,data_quality,n,The count of revenue anomalies,4.0,4.0,IQR,revenue_anomalies
eus_7Sz7ZjwhKFmYsb7V3SL2HS,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_YhU6be3JvVENKXnwxrMPfJ,revenue_anomalies,latest,6.0,data_quality,n,The count of revenue anomalies,5.0,5.0,IQR,revenue_anomalies
eus_SE5vMgKw3UeDXRQCRLa7aV,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_EWSoigMkPLbP6ceQvVSn9H,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_MuEwbUdTRUZH5AbunkHgGZ,revenue_anomalies,latest,48.0,data_quality,n,The count of revenue anomalies,47.0,47.0,IQR,revenue_anomalies
eus_ZN5FHc88GcwV4TkxwNQNAd,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_9E9BRiTkesEVHSahiidyPQ,revenue_anomalies,latest,6.0,data_quality,n,The count of revenue anomalies,5.0,5.0,IQR,revenue_anomalies
eus_foCZGnb3LHmWCoZR4RGFuW,revenue_anomalies,latest,6.0,data_quality,n,The count of revenue anomalies,5.0,5.0,IQR,revenue_anomalies
eus_esQQcAHSNxMcfCpbXH5TdC,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_NrkjH9wkXoCsKpGv8zibyP,revenue_anomalies,latest,23.0,data_quality,n,The count of revenue anomalies,22.0,22.0,IQR,revenue_anomalies
eus_YS8jYu8tiumEkUVrpKAGZh,revenue_anomalies,latest,7.0,data_quality,n,The count of revenue anomalies,6.0,6.0,IQR,revenue_anomalies
eus_He6X444GeevT4vKnmqxZSr,revenue_anomalies,latest,5.0,data_quality,n,The count of revenue anomalies,4.0,4.0,IQR,revenue_anomalies
eus_e4aJCzEiZZVrjxMUxhw5rB,revenue_anomalies,latest,22.0,data_quality,n,The count of revenue anomalies,21.0,21.0,IQR,revenue_anomalies
eus_iafyXT3apwMJyQXyyZYFXu,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_X3Bb5u3AwMXF5UEyW5mmBU,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_mYe2JUnn3L3RVPfF2kRAqG,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_SWKigp9mE4KvrRqDb66u6H,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_eiMoEzEaMyJ5kDvBizpmyv,revenue_anomalies,latest,5.0,data_quality,n,The count of revenue anomalies,4.0,4.0,IQR,revenue_anomalies
eus_HgEUgHSsQ5xWaYqUbAb6n8,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_ExY3xp65eWEyoGTRZ3BHc5,revenue_anomalies,latest,7.0,data_quality,n,The count of revenue anomalies,6.0,6.0,IQR,revenue_anomalies
eus_m2t5Gvg5UWsxpcA9NMXYRJ,revenue_anomalies,latest,5.0,data_quality,n,The count of revenue anomalies,4.0,4.0,IQR,revenue_anomalies
eus_mSGAq6ukKmVfB6pohYpeAj,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_K2zHdPTPAserNFVdXury5X,revenue_anomalies,latest,5.0,data_quality,n,The count of revenue anomalies,4.0,4.0,IQR,revenue_anomalies
eus_diSGLMTnGLStiXof5aU7a9,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_Tojhdb5dKZhKr8MwREQios,revenue_anomalies,latest,5.0,data_quality,n,The count of revenue anomalies,4.0,4.0,IQR,revenue_anomalies
eus_gLr4eTEpDhKfYyioZosQaV,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_666xMQyYdvNDbB7Zh8e8ug,revenue_anomalies,latest,5.0,data_quality,n,The count of revenue anomalies,4.0,4.0,IQR,revenue_anomalies
eus_eEJpL6qCz7Hihjjjwz73wX,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_5uhp3fzGQWKskSzKSSmcr4,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_L3VPY4dFR8abYbxZLxzDDS,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
eus_GMXgEgqGqwXCvzR33DZgNb,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_a9o7eprxs2fCUuV7bXnnab,revenue_anomalies,latest,5.0,data_quality,n,The count of revenue anomalies,4.0,4.0,IQR,revenue_anomalies
eus_U7UekAovyz4YKGnhX2HaAJ,revenue_anomalies,latest,4.0,data_quality,n,The count of revenue anomalies,3.0,3.0,IQR,revenue_anomalies
eus_F5C4oVtYa3eBDbZViTh5NZ,revenue_anomalies,latest,3.0,data_quality,n,The count of revenue anomalies,2.0,2.0,IQR,revenue_anomalies
