heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_mtbF5av34Y6nUjZvsFTkEi,debt_investment_count,last_365_days,36.0,debt,n,Number of debt investments,17.0,17.0,IQR,debt_investment_count
eus_ShkkHP27NqAkPyiyXUZgkS,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_guFTnCKn7sZEx8Cm8ZKQty,debt_investment_count,last_365_days,12.0,debt,n,Number of debt investments,5.0,5.0,IQR,debt_investment_count
eus_KBVBcbaFgQDXroqDNpwbwb,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_PLh3KYeaMc3whfzMrJnN6x,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_oSDiFaKJS8ky2R5QPFbCBB,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_KHBfD5NppjnQVNecZ46zp4,debt_investment_count,last_365_days,6.0,debt,n,Number of debt investments,2.0,2.0,IQR,debt_investment_count
eus_jEUewpRiwUPfLajhYdUvMy,debt_investment_count,last_365_days,10.0,debt,n,Number of debt investments,4.0,4.0,IQR,debt_investment_count
eus_aQAwCkTBLFyeDRwdzWAVX8,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_WiEGcmVZj6xyuP5E4TCP5i,debt_investment_count,last_365_days,23.0,debt,n,Number of debt investments,10.5,10.5,IQR,debt_investment_count
eus_k2hZR3eafaDr6oFURewca6,debt_investment_count,last_365_days,48.0,debt,n,Number of debt investments,23.0,23.0,IQR,debt_investment_count
eus_4RQBhtRqo3czh4JpzQFXRC,debt_investment_count,last_365_days,18.0,debt,n,Number of debt investments,8.0,8.0,IQR,debt_investment_count
eus_HWzcYzTsFbwsiAPWbvpVM3,debt_investment_count,last_365_days,16.0,debt,n,Number of debt investments,7.0,7.0,IQR,debt_investment_count
eus_d9tSTRADVUc2R4MyiNioGS,debt_investment_count,last_365_days,11.0,debt,n,Number of debt investments,4.5,4.5,IQR,debt_investment_count
eus_PpPSzV9o8G6ehA3oeFMzXF,debt_investment_count,last_365_days,11.0,debt,n,Number of debt investments,4.5,4.5,IQR,debt_investment_count
eus_muQ63CiyZorvBMsyMLsVUY,debt_investment_count,last_365_days,17.0,debt,n,Number of debt investments,7.5,7.5,IQR,debt_investment_count
eus_k9wiS4YL7SK6inyJV2ocag,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_D2L2EeD7DyYf3jZcPHKHfY,debt_investment_count,last_365_days,12.0,debt,n,Number of debt investments,5.0,5.0,IQR,debt_investment_count
eus_MAnKZE5VSHALVndULuY2mq,debt_investment_count,last_365_days,16.0,debt,n,Number of debt investments,7.0,7.0,IQR,debt_investment_count
eus_36Gi8SJryLYycgVdkxLjYs,debt_investment_count,last_365_days,16.0,debt,n,Number of debt investments,7.0,7.0,IQR,debt_investment_count
eus_FZmyvTWZpAboBowGvhf5nS,debt_investment_count,last_365_days,52.0,debt,n,Number of debt investments,25.0,25.0,IQR,debt_investment_count
eus_W7NokqUBz9f92LWbGLxM9S,debt_investment_count,last_365_days,49.0,debt,n,Number of debt investments,23.5,23.5,IQR,debt_investment_count
eus_WQT7NNsuuuVkDmcy7Fqrf7,debt_investment_count,last_365_days,86.0,debt,n,Number of debt investments,42.0,42.0,IQR,debt_investment_count
eus_GSBb8ieHv9kkfffweYv3mZ,debt_investment_count,last_365_days,12.0,debt,n,Number of debt investments,5.0,5.0,IQR,debt_investment_count
eus_mLhNtvsJZfbEZHPSsktJAj,debt_investment_count,last_365_days,8.0,debt,n,Number of debt investments,3.0,3.0,IQR,debt_investment_count
eus_cUoKfC7ZkFkVn5nHPWQMgj,debt_investment_count,last_365_days,6.0,debt,n,Number of debt investments,2.0,2.0,IQR,debt_investment_count
eus_iL2xiCohwqnH3cxBpwfL2S,debt_investment_count,last_365_days,10.0,debt,n,Number of debt investments,4.0,4.0,IQR,debt_investment_count
eus_4J5HTxXLHWovMWTwqR29Wj,debt_investment_count,last_365_days,16.0,debt,n,Number of debt investments,7.0,7.0,IQR,debt_investment_count
eus_UnZEKzRGc8AV5PmHBFwSnk,debt_investment_count,last_365_days,10.0,debt,n,Number of debt investments,4.0,4.0,IQR,debt_investment_count
eus_CUNfrFDnzxJDLUrZ7A3ZqJ,debt_investment_count,last_365_days,6.0,debt,n,Number of debt investments,2.0,2.0,IQR,debt_investment_count
eus_2ddxHBdd7M9YLLG3ZqLe2T,debt_investment_count,last_365_days,10.0,debt,n,Number of debt investments,4.0,4.0,IQR,debt_investment_count
eus_HBYjUozd8HmXy6KYLyzPHk,debt_investment_count,last_365_days,26.0,debt,n,Number of debt investments,12.0,12.0,IQR,debt_investment_count
eus_6vhnPTSo4zRwEsmYsrrZwe,debt_investment_count,last_365_days,15.0,debt,n,Number of debt investments,6.5,6.5,IQR,debt_investment_count
eus_YwAk8Usji2jfrtWji4QoDJ,debt_investment_count,last_365_days,26.0,debt,n,Number of debt investments,12.0,12.0,IQR,debt_investment_count
eus_L5fPSyigYfvgbYf6ut8Mmx,debt_investment_count,last_365_days,34.0,debt,n,Number of debt investments,16.0,16.0,IQR,debt_investment_count
eus_6XJWL4WJ4FnmSCzmf6yLig,debt_investment_count,last_365_days,11.0,debt,n,Number of debt investments,4.5,4.5,IQR,debt_investment_count
eus_Wt4VEntndf8RZbARHPyD9L,debt_investment_count,last_365_days,14.0,debt,n,Number of debt investments,6.0,6.0,IQR,debt_investment_count
eus_bwPNYF4ZWvQZzxhSqPCnhj,debt_investment_count,last_365_days,36.0,debt,n,Number of debt investments,17.0,17.0,IQR,debt_investment_count
eus_dJkCux9dF2wTQEmGjQVgkM,debt_investment_count,last_365_days,10.0,debt,n,Number of debt investments,4.0,4.0,IQR,debt_investment_count
eus_nVPr83yBEVGeY9yyGVuTMQ,debt_investment_count,last_365_days,10.0,debt,n,Number of debt investments,4.0,4.0,IQR,debt_investment_count
eus_C9xZHaxi9mVZDieFSGpHmi,debt_investment_count,last_365_days,17.0,debt,n,Number of debt investments,7.5,7.5,IQR,debt_investment_count
eus_aK4Q5n9vc8H9X8Zk8mdWGW,debt_investment_count,last_365_days,10.0,debt,n,Number of debt investments,4.0,4.0,IQR,debt_investment_count
eus_LyoEdqB5aXU7CzvBX9s2Ko,debt_investment_count,last_365_days,10.0,debt,n,Number of debt investments,4.0,4.0,IQR,debt_investment_count
eus_b8bexpjfyDD2ZYv4TTwbMt,debt_investment_count,last_365_days,11.0,debt,n,Number of debt investments,4.5,4.5,IQR,debt_investment_count
eus_gXoNDFrYhBc3Xg4UnKqUKs,debt_investment_count,last_365_days,9.0,debt,n,Number of debt investments,3.5,3.5,IQR,debt_investment_count
eus_dmgHDSBBr7j2aJbSVyBnoZ,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_VFk8ezf8XryzSgop2scWzU,debt_investment_count,last_365_days,6.0,debt,n,Number of debt investments,2.0,2.0,IQR,debt_investment_count
eus_34Bs4dw59HxLSAyRjybps4,debt_investment_count,last_365_days,14.0,debt,n,Number of debt investments,6.0,6.0,IQR,debt_investment_count
eus_j4LuMwkRrGNVeMBS5sMHNj,debt_investment_count,last_365_days,32.0,debt,n,Number of debt investments,15.0,15.0,IQR,debt_investment_count
eus_GN5qiJyPkwUEjdjRF9Sx3a,debt_investment_count,last_365_days,8.0,debt,n,Number of debt investments,3.0,3.0,IQR,debt_investment_count
eus_eiMoEzEaMyJ5kDvBizpmyv,debt_investment_count,last_365_days,11.0,debt,n,Number of debt investments,4.5,4.5,IQR,debt_investment_count
eus_eMJMMvAZH8ZFwZTJpTo27z,debt_investment_count,last_365_days,78.0,debt,n,Number of debt investments,38.0,38.0,IQR,debt_investment_count
eus_H6RsaGycEHvsNvABwwfsjX,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_ExY3xp65eWEyoGTRZ3BHc5,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_8ThWSHWvNvdNSZp2QXZH2L,debt_investment_count,last_365_days,55.0,debt,n,Number of debt investments,26.5,26.5,IQR,debt_investment_count
eus_LKYsujPatYeWLTxeJxfVzJ,debt_investment_count,last_365_days,8.0,debt,n,Number of debt investments,3.0,3.0,IQR,debt_investment_count
eus_nVrpujk4aXZV8Ah6bfNQmP,debt_investment_count,last_365_days,12.0,debt,n,Number of debt investments,5.0,5.0,IQR,debt_investment_count
eus_8URe8GnxVHtxpdAfaKm26h,debt_investment_count,last_365_days,14.0,debt,n,Number of debt investments,6.0,6.0,IQR,debt_investment_count
eus_KQDBrh39xRaSwPptW6XwGx,debt_investment_count,last_365_days,23.0,debt,n,Number of debt investments,10.5,10.5,IQR,debt_investment_count
eus_djGuNHbDC6dYKFRxyu7YdK,debt_investment_count,last_365_days,12.0,debt,n,Number of debt investments,5.0,5.0,IQR,debt_investment_count
eus_XSiHodGqy2Hq9xGDKmZrdB,debt_investment_count,last_365_days,6.0,debt,n,Number of debt investments,2.0,2.0,IQR,debt_investment_count
eus_6CM4AtZw27JiZa45oxCymt,debt_investment_count,last_365_days,9.0,debt,n,Number of debt investments,3.5,3.5,IQR,debt_investment_count
eus_TRF8e7oFemRPYTATArzGEX,debt_investment_count,last_365_days,33.0,debt,n,Number of debt investments,15.5,15.5,IQR,debt_investment_count
eus_H3chDHYtZJ6eQGkm8EEUFt,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_AbmXk5zNbA4rehiFoBhbbZ,debt_investment_count,last_365_days,10.0,debt,n,Number of debt investments,4.0,4.0,IQR,debt_investment_count
eus_TuCRnTnB3YHCZ4ediHNufA,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_GJtGhsuT4DsFVKQmatAmfR,debt_investment_count,last_365_days,28.0,debt,n,Number of debt investments,13.0,13.0,IQR,debt_investment_count
eus_ZDVygMZ8CEYMVrLfb5Fxnf,debt_investment_count,last_365_days,8.0,debt,n,Number of debt investments,3.0,3.0,IQR,debt_investment_count
eus_4EPN6NSoTAQVQmg4yTz2G8,debt_investment_count,last_365_days,11.0,debt,n,Number of debt investments,4.5,4.5,IQR,debt_investment_count
eus_ZzwmLf8twnD94HA5TXVGdA,debt_investment_count,last_365_days,20.0,debt,n,Number of debt investments,9.0,9.0,IQR,debt_investment_count
eus_by3Zbczv6aHpj8u6kgNULx,debt_investment_count,last_365_days,22.0,debt,n,Number of debt investments,10.0,10.0,IQR,debt_investment_count
eus_V7fmonTkxdx3YbseWGRnV6,debt_investment_count,last_365_days,31.0,debt,n,Number of debt investments,14.5,14.5,IQR,debt_investment_count
eus_WiBL9mGYc7SaT89uQJREDg,debt_investment_count,last_365_days,12.0,debt,n,Number of debt investments,5.0,5.0,IQR,debt_investment_count
eus_KSVMv6MiMMfgQdrFLSAGD6,debt_investment_count,last_365_days,12.0,debt,n,Number of debt investments,5.0,5.0,IQR,debt_investment_count
eus_n22odijzRejrrYXKexqKfy,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_GMXgEgqGqwXCvzR33DZgNb,debt_investment_count,last_365_days,7.0,debt,n,Number of debt investments,2.5,2.5,IQR,debt_investment_count
eus_jZgVN7ZPSYHQSReBzufrDj,debt_investment_count,last_365_days,6.0,debt,n,Number of debt investments,2.0,2.0,IQR,debt_investment_count
eus_RgXaE9T9KMSHDqoYnz3CTH,debt_investment_count,last_365_days,14.0,debt,n,Number of debt investments,6.0,6.0,IQR,debt_investment_count
eus_ec9DjjE4DL75Q8aDnBH89X,debt_investment_count,last_365_days,13.0,debt,n,Number of debt investments,5.5,5.5,IQR,debt_investment_count
eus_WHdBfTY9tt3KiyrFouPMmm,debt_investment_count,last_365_days,14.0,debt,n,Number of debt investments,6.0,6.0,IQR,debt_investment_count
eus_TkZX8TB3JkHfupd8WFXLME,debt_investment_count,last_365_days,16.0,debt,n,Number of debt investments,7.0,7.0,IQR,debt_investment_count
eus_Ukh9zD9QSi6i98p9SPsV2o,debt_investment_count,last_365_days,16.0,debt,n,Number of debt investments,7.0,7.0,IQR,debt_investment_count
eus_8qMtcnLXiFe2iBMZ8pd9Cs,debt_investment_count,last_365_days,17.0,debt,n,Number of debt investments,7.5,7.5,IQR,debt_investment_count
eus_KSbTJTRYGn4tAf54zgPUQ5,debt_investment_count,last_365_days,6.0,debt,n,Number of debt investments,2.0,2.0,IQR,debt_investment_count
eus_f8ozjLpwUnHiK3CVFBQMms,debt_investment_count,last_365_days,9.0,debt,n,Number of debt investments,3.5,3.5,IQR,debt_investment_count
eus_GrnwNTdYTFuX9uRFhBqWhr,debt_investment_count,last_365_days,11.0,debt,n,Number of debt investments,4.5,4.5,IQR,debt_investment_count
