heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,outlier_score,outlier_method,metric_name
eus_mtbF5av34Y6nUjZvsFTkEi,debt_investment_count,last_365_days,36.0,debt,n,Number of debt investments,3.901088850652879,Z-score,debt_investment_count
eus_k2hZR3eafaDr6oFURewca6,debt_investment_count,last_365_days,48.0,debt,n,Number of debt investments,5.311843339633216,Z-score,debt_investment_count
eus_FZmyvTWZpAboBowGvhf5nS,debt_investment_count,last_365_days,52.0,debt,n,Number of debt investments,5.782094835959995,Z-score,debt_investment_count
eus_W7NokqUBz9f92LWbGLxM9S,debt_investment_count,last_365_days,49.0,debt,n,Number of debt investments,5.429406213714912,Z-score,debt_investment_count
eus_WQT7NNsuuuVkDmcy7Fqrf7,debt_investment_count,last_365_days,86.0,debt,n,Number of debt investments,9.779232554737618,Z-score,debt_investment_count
eus_L5fPSyigYfvgbYf6ut8Mmx,debt_investment_count,last_365_days,34.0,debt,n,Number of debt investments,3.665963102489489,Z-score,debt_investment_count
eus_bwPNYF4ZWvQZzxhSqPCnhj,debt_investment_count,last_365_days,36.0,debt,n,Number of debt investments,3.901088850652879,Z-score,debt_investment_count
eus_j4LuMwkRrGNVeMBS5sMHNj,debt_investment_count,last_365_days,32.0,debt,n,Number of debt investments,3.4308373543260995,Z-score,debt_investment_count
eus_eMJMMvAZH8ZFwZTJpTo27z,debt_investment_count,last_365_days,78.0,debt,n,Number of debt investments,8.83872956208406,Z-score,debt_investment_count
eus_8ThWSHWvNvdNSZp2QXZH2L,debt_investment_count,last_365_days,55.0,debt,n,Number of debt investments,6.13478345820508,Z-score,debt_investment_count
eus_TRF8e7oFemRPYTATArzGEX,debt_investment_count,last_365_days,33.0,debt,n,Number of debt investments,3.5484002284077945,Z-score,debt_investment_count
eus_V7fmonTkxdx3YbseWGRnV6,debt_investment_count,last_365_days,31.0,debt,n,Number of debt investments,3.313274480244405,Z-score,debt_investment_count
eus_edcqeadie5b7QTgjHjuvpX,debt_investment_count,last_365_days,39.0,debt,n,Number of debt investments,4.253777472897963,Z-score,debt_investment_count
eus_5aD4es6MMroF8MHjg8BcSw,debt_investment_count,last_365_days,36.0,debt,n,Number of debt investments,3.901088850652879,Z-score,debt_investment_count
eus_hbsjSU9X3ycgJ9NnUKWFCt,debt_investment_count,last_365_days,100.0,debt,n,Number of debt investments,11.425112791881345,Z-score,debt_investment_count
eus_8k8gM3JGUTjJTD6r6u4Y4i,debt_investment_count,last_365_days,97.0,debt,n,Number of debt investments,11.07242416963626,Z-score,debt_investment_count
eus_cpFtr4NBkMDAvy3yUBQNnx,debt_investment_count,last_365_days,48.0,debt,n,Number of debt investments,5.311843339633216,Z-score,debt_investment_count
eus_HrshvesEBrt9g9RJ5UmdUS,debt_investment_count,last_365_days,38.0,debt,n,Number of debt investments,4.136214598816268,Z-score,debt_investment_count
eus_XfSZrE8sgkpYtdwsXANmAP,debt_investment_count,last_365_days,29.0,debt,n,Number of debt investments,3.078148732081015,Z-score,debt_investment_count
eus_AGnz6sybaTfrZZG94VWAif,debt_investment_count,last_365_days,34.0,debt,n,Number of debt investments,3.665963102489489,Z-score,debt_investment_count
eus_23Me4cH9pV2TZXZDS8eygu,debt_investment_count,last_365_days,32.0,debt,n,Number of debt investments,3.4308373543260995,Z-score,debt_investment_count
eus_9MoZz4R5ST7HnBcjmFDXr9,debt_investment_count,last_365_days,37.0,debt,n,Number of debt investments,4.018651724734574,Z-score,debt_investment_count
eus_4C4mJ7cAbSFhHGkpo4dYs4,debt_investment_count,last_365_days,29.0,debt,n,Number of debt investments,3.078148732081015,Z-score,debt_investment_count
