heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,outlier_score,outlier_method,metric_name
eus_W7NokqUBz9f92LWbGLxM9S,debt_investment,last_365_days,611227.73,debt,amount,Total debt investment,6.413335601900201,Z-score,debt_investment
eus_WQT7NNsuuuVkDmcy7Fqrf7,debt_investment,last_30_days,400000.0,debt,amount,Total debt investment,4.160894321712581,Z-score,debt_investment
eus_WQT7NNsuuuVkDmcy7Fqrf7,debt_investment,last_90_days,1315000.0,debt,amount,Total debt investment,13.918059119022445,Z-score,debt_investment
eus_WQT7NNsuuuVkDmcy7Fqrf7,debt_investment,last_120_days,1915000.0,debt,amount,Total debt investment,20.316199969717438,Z-score,debt_investment
eus_WQT7NNsuuuVkDmcy7Fqrf7,debt_investment,last_180_days,2665000.0,debt,amount,Total debt investment,28.313876033086178,Z-score,debt_investment
eus_WQT7NNsuuuVkDmcy7Fqrf7,debt_investment,last_365_days,4265000.0,debt,amount,Total debt investment,45.375584968272825,Z-score,debt_investment
eus_mLhNtvsJZfbEZHPSsktJAj,debt_investment,last_365_days,369750.0,debt,amount,Total debt investment,3.838321387156708,Z-score,debt_investment
eus_YwAk8Usji2jfrtWji4QoDJ,debt_investment,last_30_days,292000.0,debt,amount,Total debt investment,3.009228968587482,Z-score,debt_investment
eus_YwAk8Usji2jfrtWji4QoDJ,debt_investment,last_90_days,392000.0,debt,amount,Total debt investment,4.075585777036648,Z-score,debt_investment
eus_YwAk8Usji2jfrtWji4QoDJ,debt_investment,last_120_days,432000.0,debt,amount,Total debt investment,4.502128500416314,Z-score,debt_investment
eus_YwAk8Usji2jfrtWji4QoDJ,debt_investment,last_180_days,532000.0,debt,amount,Total debt investment,5.568485308865479,Z-score,debt_investment
eus_YwAk8Usji2jfrtWji4QoDJ,debt_investment,last_365_days,1040000.0,debt,amount,Total debt investment,10.98557789578724,Z-score,debt_investment
eus_C9xZHaxi9mVZDieFSGpHmi,debt_investment,last_365_days,317423.22,debt,amount,Total debt investment,3.280331205984492,Z-score,debt_investment
eus_KSVMv6MiMMfgQdrFLSAGD6,debt_investment,last_180_days,350000.0,debt,amount,Total debt investment,3.6277159174879983,Z-score,debt_investment
eus_KSVMv6MiMMfgQdrFLSAGD6,debt_investment,last_365_days,600000.0,debt,amount,Total debt investment,6.293607938610911,Z-score,debt_investment
eus_oAqcdLkkV48GZgnN7FPznF,debt_investment,last_180_days,350000.0,debt,amount,Total debt investment,3.6277159174879983,Z-score,debt_investment
eus_oAqcdLkkV48GZgnN7FPznF,debt_investment,last_365_days,350000.0,debt,amount,Total debt investment,3.6277159174879983,Z-score,debt_investment
eus_9cma3ZRCLmvvCTx5J8SHfN,debt_investment,last_365_days,330000.0,debt,amount,Total debt investment,3.414444555798165,Z-score,debt_investment
eus_hbsjSU9X3ycgJ9NnUKWFCt,debt_investment,last_180_days,367854.97,debt,amount,Total debt investment,3.818113605729554,Z-score,debt_investment
eus_hbsjSU9X3ycgJ9NnUKWFCt,debt_investment,last_365_days,983818.82,debt,amount,Total debt investment,10.386486057790158,Z-score,debt_investment
eus_oHLLSMWjqNCLvSrwVxkBjQ,debt_investment,last_120_days,350000.0,debt,amount,Total debt investment,3.6277159174879983,Z-score,debt_investment
eus_oHLLSMWjqNCLvSrwVxkBjQ,debt_investment,last_180_days,350000.0,debt,amount,Total debt investment,3.6277159174879983,Z-score,debt_investment
eus_oHLLSMWjqNCLvSrwVxkBjQ,debt_investment,last_365_days,552555.85,debt,amount,Total debt investment,5.787684014875077,Z-score,debt_investment
eus_XfSZrE8sgkpYtdwsXANmAP,debt_investment,last_180_days,353999.75,debt,amount,Total debt investment,3.6703675239339435,Z-score,debt_investment
eus_XfSZrE8sgkpYtdwsXANmAP,debt_investment,last_365_days,785152.75,debt,amount,Total debt investment,8.267996894266773,Z-score,debt_investment
eus_23Me4cH9pV2TZXZDS8eygu,debt_investment,last_365_days,361228.38,debt,amount,Total debt investment,3.7474505120965427,Z-score,debt_investment
eus_4C4mJ7cAbSFhHGkpo4dYs4,debt_investment,last_30_days,505300.79,debt,amount,Total debt investment,5.283776465228338,Z-score,debt_investment
eus_4C4mJ7cAbSFhHGkpo4dYs4,debt_investment,last_90_days,893800.79,debt,amount,Total debt investment,9.426572666053346,Z-score,debt_investment
eus_4C4mJ7cAbSFhHGkpo4dYs4,debt_investment,last_120_days,993800.79,debt,amount,Total debt investment,10.492929474502512,Z-score,debt_investment
eus_4C4mJ7cAbSFhHGkpo4dYs4,debt_investment,last_180_days,1243800.79,debt,amount,Total debt investment,13.158821495625427,Z-score,debt_investment
eus_4C4mJ7cAbSFhHGkpo4dYs4,debt_investment,last_365_days,1348202.72,debt,amount,Total debt investment,14.272118584332757,Z-score,debt_investment
eus_bdPUwVi9QXk5f56Ap5dky4,debt_investment,last_365_days,488205.19,debt,amount,Total debt investment,5.101476370683103,Z-score,debt_investment
