heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,debt_repayment,last_12_calendar_months,30000.0,debt,amount,Total debt repayment,2.538447293942945,2.538447293942945,IQR,debt_repayment
eus_mtbF5av34Y6nUjZvsFTkEi,debt_repayment,last_12_calendar_months,29477.99,debt,amount,Total debt repayment,2.476877131545906,2.476877131545906,IQR,debt_repayment
eus_ArVydJjKKCAArkTr7cCsne,debt_repayment,last_12_calendar_months,54489.4,debt,amount,Total debt repayment,5.426928999285824,5.426928999285824,IQR,debt_repayment
eus_LoNEbmyAahYf49pye4quTt,debt_repayment,last_6_calendar_months,40404.12,debt,amount,Total debt repayment,3.7655949692715343,3.7655949692715343,IQR,debt_repayment
eus_LoNEbmyAahYf49pye4quTt,debt_repayment,last_12_calendar_months,81000.7,debt,amount,Total debt repayment,8.553890257416143,8.553890257416143,IQR,debt_repayment
eus_ShkkHP27NqAkPyiyXUZgkS,debt_repayment,last_12_calendar_months,33274.39,debt,amount,Total debt repayment,2.924655841770073,2.924655841770073,IQR,debt_repayment
eus_TvVwrNJvF48xUgcuXqLKXP,debt_repayment,last_3_calendar_months,57912.56,debt,amount,Total debt repayment,5.8306847072436145,5.8306847072436145,IQR,debt_repayment
eus_TvVwrNJvF48xUgcuXqLKXP,debt_repayment,last_6_calendar_months,73778.81,debt,amount,Total debt repayment,7.7020810198276894,7.7020810198276894,IQR,debt_repayment
eus_TvVwrNJvF48xUgcuXqLKXP,debt_repayment,last_12_calendar_months,93977.32,debt,amount,Total debt repayment,10.084459788200341,10.084459788200341,IQR,debt_repayment
eus_VRqgog9yo6Gc9HgBx9tKuo,debt_repayment,last_6_calendar_months,30600.0,debt,amount,Total debt repayment,2.609216239821804,2.609216239821804,IQR,debt_repayment
eus_VRqgog9yo6Gc9HgBx9tKuo,debt_repayment,last_12_calendar_months,60600.0,debt,amount,Total debt repayment,6.1476635337647485,6.1476635337647485,IQR,debt_repayment
eus_bUT7vbavvzsetamrb5HzUo,debt_repayment,last_12_calendar_months,29069.33,debt,amount,Total debt repayment,2.428676402507816,2.428676402507816,IQR,debt_repayment
eus_eX5AZxTaxhqS7HxZxQEWjT,debt_repayment,last_12_calendar_months,24982.12,debt,amount,Total debt repayment,1.946597163698597,1.946597163698597,IQR,debt_repayment
eus_avb47hn3MaRgBTBNFxob8L,debt_repayment,last_12_calendar_months,35428.72,debt,amount,Total debt repayment,3.17875528039541,3.17875528039541,IQR,debt_repayment
eus_guFTnCKn7sZEx8Cm8ZKQty,debt_repayment,last_12_calendar_months,28535.93,debt,amount,Total debt repayment,2.3657628096215104,2.3657628096215104,IQR,debt_repayment
eus_JmPbN6nWLS2oS9XcoRhMeY,debt_repayment,last_3_calendar_months,51669.28,debt,amount,Total debt repayment,5.094300799866011,5.094300799866011,IQR,debt_repayment
eus_JmPbN6nWLS2oS9XcoRhMeY,debt_repayment,last_6_calendar_months,68398.27,debt,amount,Total debt repayment,7.067455779729298,7.067455779729298,IQR,debt_repayment
eus_JmPbN6nWLS2oS9XcoRhMeY,debt_repayment,last_12_calendar_months,161782.51,debt,amount,Total debt repayment,18.081962823893246,18.081962823893246,IQR,debt_repayment
eus_KBVBcbaFgQDXroqDNpwbwb,debt_repayment,last_6_calendar_months,23966.27,debt,amount,Total debt repayment,1.8267794409135327,1.8267794409135327,IQR,debt_repayment
eus_KBVBcbaFgQDXroqDNpwbwb,debt_repayment,last_12_calendar_months,33916.97,debt,amount,Total debt repayment,3.0004470238414687,3.0004470238414687,IQR,debt_repayment
eus_fKJBfNT7CB4bV5oJJyTu8b,debt_repayment,last_6_calendar_months,37259.89,debt,amount,Total debt repayment,3.3947385647703934,3.3947385647703934,IQR,debt_repayment
eus_fKJBfNT7CB4bV5oJJyTu8b,debt_repayment,last_12_calendar_months,88884.83,debt,amount,Total debt repayment,9.483809539535956,9.483809539535956,IQR,debt_repayment
eus_D79MmSN48CdtZEEtthKrm3,debt_repayment,last_12_calendar_months,32562.33,debt,amount,Total debt repayment,2.840669615765906,2.840669615765906,IQR,debt_repayment
eus_d9ZiSFK6mbvcwLmhtfNyU3,debt_repayment,last_12_calendar_months,31307.1,debt,amount,Total debt repayment,2.692617442540039,2.692617442540039,IQR,debt_repayment
eus_PLh3KYeaMc3whfzMrJnN6x,debt_repayment,last_3_calendar_months,28236.6,debt,amount,Total debt repayment,2.3304573620049784,2.3304573620049784,IQR,debt_repayment
eus_PLh3KYeaMc3whfzMrJnN6x,debt_repayment,last_6_calendar_months,41607.46,debt,amount,Total debt repayment,3.9075268081613106,3.9075268081613106,IQR,debt_repayment
eus_PLh3KYeaMc3whfzMrJnN6x,debt_repayment,last_12_calendar_months,78723.52,debt,amount,Total debt repayment,8.285300877122111,8.285300877122111,IQR,debt_repayment
eus_4V9tUMJkHXTHCS9iPjPMwr,debt_repayment,last_6_calendar_months,56306.58,debt,amount,Total debt repayment,5.6412621877393985,5.6412621877393985,IQR,debt_repayment
eus_4V9tUMJkHXTHCS9iPjPMwr,debt_repayment,last_12_calendar_months,73844.3,debt,amount,Total debt repayment,7.709805450270367,7.709805450270367,IQR,debt_repayment
eus_4dheJbnAJWtPvL3gk9XQek,debt_repayment,last_12_calendar_months,36453.45,debt,amount,Total debt repayment,3.2996203835794815,3.2996203835794815,IQR,debt_repayment
eus_WiEGcmVZj6xyuP5E4TCP5i,debt_repayment,last_3_calendar_months,50776.8,debt,amount,Total debt repayment,4.989034351836072,4.989034351836072,IQR,debt_repayment
eus_WiEGcmVZj6xyuP5E4TCP5i,debt_repayment,last_6_calendar_months,77308.96,debt,amount,Total debt repayment,8.118456010318113,8.118456010318113,IQR,debt_repayment
eus_WiEGcmVZj6xyuP5E4TCP5i,debt_repayment,last_12_calendar_months,119138.75,debt,amount,Total debt repayment,13.052206251374834,13.052206251374834,IQR,debt_repayment
eus_RArEP7AJjRm25bKaDcCxmR,debt_repayment,last_6_calendar_months,24316.19,debt,amount,Total debt repayment,1.868051890150083,1.868051890150083,IQR,debt_repayment
eus_RArEP7AJjRm25bKaDcCxmR,debt_repayment,last_12_calendar_months,46863.56,debt,amount,Total debt repayment,4.527474568884427,4.527474568884427,IQR,debt_repayment
eus_4RQBhtRqo3czh4JpzQFXRC,debt_repayment,last_3_calendar_months,38409.26,debt,amount,Total debt repayment,3.530304736978367,3.530304736978367,IQR,debt_repayment
eus_4RQBhtRqo3czh4JpzQFXRC,debt_repayment,last_6_calendar_months,62996.06,debt,amount,Total debt repayment,6.430274601202246,6.430274601202246,IQR,debt_repayment
eus_4RQBhtRqo3czh4JpzQFXRC,debt_repayment,last_12_calendar_months,135687.27,debt,amount,Total debt repayment,15.004075111800189,15.004075111800189,IQR,debt_repayment
eus_Ygrn9HsoNCqeaJVDVPf84m,debt_repayment,last_3_calendar_months,21335.4,debt,amount,Total debt repayment,1.5164729465063438,1.5164729465063438,IQR,debt_repayment
eus_Ygrn9HsoNCqeaJVDVPf84m,debt_repayment,last_6_calendar_months,47315.35,debt,amount,Total debt repayment,4.580762405648778,4.580762405648778,IQR,debt_repayment
eus_Ygrn9HsoNCqeaJVDVPf84m,debt_repayment,last_12_calendar_months,91208.59,debt,amount,Total debt repayment,9.757892948995051,9.757892948995051,IQR,debt_repayment
eus_JAULegdNuwnrV2FF3tfi2m,debt_repayment,last_6_calendar_months,26594.7,debt,amount,Total debt repayment,2.136798141607481,2.136798141607481,IQR,debt_repayment
