heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,outlier_score,outlier_method,metric_name
eus_muQ63CiyZorvBMsyMLsVUY,debt_repayment,last_12_calendar_months,723652.74,debt,amount,Total debt repayment,4.8250382309356254,Z-score,debt_repayment
eus_MAnKZE5VSHALVndULuY2mq,debt_repayment,last_12_calendar_months,490828.57,debt,amount,Total debt repayment,3.2205463993890113,Z-score,debt_repayment
eus_WQT7NNsuuuVkDmcy7Fqrf7,debt_repayment,last_6_calendar_months,492771.97,debt,amount,Total debt repayment,3.233939207470009,Z-score,debt_repayment
eus_WQT7NNsuuuVkDmcy7Fqrf7,debt_repayment,last_12_calendar_months,561433.31,debt,amount,Total debt repayment,3.707114132448996,Z-score,debt_repayment
eus_B32uhD7FV9x4C2286X4mhc,debt_repayment,last_12_calendar_months,570063.08,debt,amount,Total debt repayment,3.7665856017261157,Z-score,debt_repayment
eus_BHxDuecdaFvYY45Q3KGuw2,debt_repayment,last_12_calendar_months,494143.68,debt,amount,Total debt repayment,3.2433922530462085,Z-score,debt_repayment
eus_iDeP6fiwAqNAzhtu22dKyR,debt_repayment,last_3_calendar_months,794107.84,debt,amount,Total debt repayment,5.310574730177949,Z-score,debt_repayment
eus_iDeP6fiwAqNAzhtu22dKyR,debt_repayment,last_6_calendar_months,1680375.28,debt,amount,Total debt repayment,11.418226130999988,Z-score,debt_repayment
eus_iDeP6fiwAqNAzhtu22dKyR,debt_repayment,last_12_calendar_months,3020322.38,debt,amount,Total debt repayment,20.652379855909967,Z-score,debt_repayment
eus_C9xZHaxi9mVZDieFSGpHmi,debt_repayment,last_6_calendar_months,869082.88,debt,amount,Total debt repayment,5.82726008655603,Z-score,debt_repayment
eus_C9xZHaxi9mVZDieFSGpHmi,debt_repayment,last_12_calendar_months,2322982.77,debt,amount,Total debt repayment,15.846711664077043,Z-score,debt_repayment
eus_8UYcJTaxNfpB7FgtLLGKGJ,debt_repayment,last_3_calendar_months,996326.86,debt,amount,Total debt repayment,6.704153265316124,Z-score,debt_repayment
eus_8UYcJTaxNfpB7FgtLLGKGJ,debt_repayment,last_6_calendar_months,1676026.76,debt,amount,Total debt repayment,11.388258603061129,Z-score,debt_repayment
eus_8UYcJTaxNfpB7FgtLLGKGJ,debt_repayment,last_12_calendar_months,3541123.27,debt,amount,Total debt repayment,24.24144354232709,Z-score,debt_repayment
eus_3PGTachkx8gBUNs9tLXCD2,debt_repayment,last_12_calendar_months,614437.61,debt,amount,Total debt repayment,4.072389637938165,Z-score,debt_repayment
eus_4rPHtTXZoXU8VrU5hwGCXL,debt_repayment,last_12_calendar_months,855028.75,debt,amount,Total debt repayment,5.730407011617571,Z-score,debt_repayment
eus_cFTa6dWJVEtmuGqJd5HG7G,debt_repayment,last_6_calendar_months,508000.0,debt,amount,Total debt repayment,3.338882133909076,Z-score,debt_repayment
eus_cFTa6dWJVEtmuGqJd5HG7G,debt_repayment,last_12_calendar_months,530729.14,debt,amount,Total debt repayment,3.495518446488133,Z-score,debt_repayment
eus_NS2eL9iULiTQbcf9zpGDJg,debt_repayment,last_3_calendar_months,1172359.07,debt,amount,Total debt repayment,7.917267191735783,Z-score,debt_repayment
eus_NS2eL9iULiTQbcf9zpGDJg,debt_repayment,last_6_calendar_months,2295684.19,debt,amount,Total debt repayment,15.658585368500335,Z-score,debt_repayment
eus_NS2eL9iULiTQbcf9zpGDJg,debt_repayment,last_12_calendar_months,4253108.15,debt,amount,Total debt repayment,29.148038609946987,Z-score,debt_repayment
eus_UTpJ9j8PKMkwme4MwAGWHz,debt_repayment,last_6_calendar_months,582026.88,debt,amount,Total debt repayment,3.8490333105454253,Z-score,debt_repayment
