heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_ArVydJjKKCAArkTr7cCsne,last_debt_investment_days,latest,1713.0,debt,day,"Days since last debt investment, null if not applicable",2.0563019494917945,2.0563019494917945,IQR,last_debt_investment_days
eus_Y8fVSpRHQ7uNG4aaEA9TEP,last_debt_investment_days,latest,2870.0,debt,day,"Days since last debt investment, null if not applicable",4.121528820639369,4.121528820639369,IQR,last_debt_investment_days
eus_bUT7vbavvzsetamrb5HzUo,last_debt_investment_days,latest,1776.0,debt,day,"Days since last debt investment, null if not applicable",2.168755962354627,2.168755962354627,IQR,last_debt_investment_days
eus_JAULegdNuwnrV2FF3tfi2m,last_debt_investment_days,latest,2442.0,debt,day,"Days since last debt investment, null if not applicable",3.3575555269045707,3.3575555269045707,IQR,last_debt_investment_days
eus_ZN5FHc88GcwV4TkxwNQNAd,last_debt_investment_days,latest,2418.0,debt,day,"Days since last debt investment, null if not applicable",3.314715902956825,3.314715902956825,IQR,last_debt_investment_days
eus_foCZGnb3LHmWCoZR4RGFuW,last_debt_investment_days,latest,2215.0,debt,day,"Days since last debt investment, null if not applicable",2.9523640837321423,2.9523640837321423,IQR,last_debt_investment_days
eus_WgRRF5uNU4s4pfUbqZ5vRF,last_debt_investment_days,latest,1520.0,debt,day,"Days since last debt investment, null if not applicable",1.7117999735786726,1.7117999735786726,IQR,last_debt_investment_days
eus_ekfEqYQqpnsQ4PrCfdQLdi,last_debt_investment_days,latest,1749.0,debt,day,"Days since last debt investment, null if not applicable",2.120561385413413,2.120561385413413,IQR,last_debt_investment_days
eus_StirsLibxeJ94sUm2s3QzX,last_debt_investment_days,latest,1532.0,debt,day,"Days since last debt investment, null if not applicable",1.7332197855525455,1.7332197855525455,IQR,last_debt_investment_days
eus_4oiQv5nJjd9qQVcSvCMYSX,last_debt_investment_days,latest,2354.0,debt,day,"Days since last debt investment, null if not applicable",3.2004769057628364,3.2004769057628364,IQR,last_debt_investment_days
eus_YUtVDjJQ7jWLd2qJDg96Uy,last_debt_investment_days,latest,1454.0,debt,day,"Days since last debt investment, null if not applicable",1.593991007722372,1.593991007722372,IQR,last_debt_investment_days
eus_NBLZhoiKUJSfyAiwvAQUfd,last_debt_investment_days,latest,1664.0,debt,day,"Days since last debt investment, null if not applicable",1.968837717265147,1.968837717265147,IQR,last_debt_investment_days
eus_YqdyaCCRo9WtAmw7HR5nUF,last_debt_investment_days,latest,1545.0,debt,day,"Days since last debt investment, null if not applicable",1.7564245818575743,1.7564245818575743,IQR,last_debt_investment_days
eus_RNFRcGrWEwBPQrn7xy3qvs,last_debt_investment_days,latest,2820.0,debt,day,"Days since last debt investment, null if not applicable",4.032279604081566,4.032279604081566,IQR,last_debt_investment_days
eus_VHSQeaNkP8oGMbTEsk933k,last_debt_investment_days,latest,2177.0,debt,day,"Days since last debt investment, null if not applicable",2.884534679148212,2.884534679148212,IQR,last_debt_investment_days
eus_a9o7eprxs2fCUuV7bXnnab,last_debt_investment_days,latest,1765.0,debt,day,"Days since last debt investment, null if not applicable",2.14912113471191,2.14912113471191,IQR,last_debt_investment_days
eus_VsGWGwnq5aXnq88RRFmujP,last_debt_investment_days,latest,1482.0,debt,day,"Days since last debt investment, null if not applicable",1.643970568994742,1.643970568994742,IQR,last_debt_investment_days
eus_FKj3ofUbf6YvtdGnBoa4ys,last_debt_investment_days,latest,3786.0,debt,day,"Days since last debt investment, null if not applicable",5.756574467978331,5.756574467978331,IQR,last_debt_investment_days
eus_Dugf5KuYhamefnwQeFedyR,last_debt_investment_days,latest,1464.0,debt,day,"Days since last debt investment, null if not applicable",1.6118408510339326,1.6118408510339326,IQR,last_debt_investment_days
eus_m8SVB544QuvW4xbyLFdvrR,last_debt_investment_days,latest,3437.0,debt,day,"Days since last debt investment, null if not applicable",5.133614936404862,5.133614936404862,IQR,last_debt_investment_days
eus_L4NZawNGAiz3ZnAgZvPRXu,last_debt_investment_days,latest,1477.0,debt,day,"Days since last debt investment, null if not applicable",1.6350456473389616,1.6350456473389616,IQR,last_debt_investment_days
