heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,outlier_score,outlier_method,metric_name
eus_Y8fVSpRHQ7uNG4aaEA9TEP,last_debt_investment_days,latest,2870.0,debt,day,"Days since last debt investment, null if not applicable",5.154003420938464,Z-score,last_debt_investment_days
eus_JAULegdNuwnrV2FF3tfi2m,last_debt_investment_days,latest,2442.0,debt,day,"Days since last debt investment, null if not applicable",4.281827940675426,Z-score,last_debt_investment_days
eus_ZN5FHc88GcwV4TkxwNQNAd,last_debt_investment_days,latest,2418.0,debt,day,"Days since last debt investment, null if not applicable",4.232920904398994,Z-score,last_debt_investment_days
eus_foCZGnb3LHmWCoZR4RGFuW,last_debt_investment_days,latest,2215.0,debt,day,"Days since last debt investment, null if not applicable",3.8192488892275063,Z-score,last_debt_investment_days
eus_4oiQv5nJjd9qQVcSvCMYSX,last_debt_investment_days,latest,2354.0,debt,day,"Days since last debt investment, null if not applicable",4.102502140995175,Z-score,last_debt_investment_days
eus_RNFRcGrWEwBPQrn7xy3qvs,last_debt_investment_days,latest,2820.0,debt,day,"Days since last debt investment, null if not applicable",5.052113762029231,Z-score,last_debt_investment_days
eus_VHSQeaNkP8oGMbTEsk933k,last_debt_investment_days,latest,2177.0,debt,day,"Days since last debt investment, null if not applicable",3.7418127484564887,Z-score,last_debt_investment_days
eus_FKj3ofUbf6YvtdGnBoa4ys,last_debt_investment_days,latest,3786.0,debt,day,"Days since last debt investment, null if not applicable",7.02062197215562,Z-score,last_debt_investment_days
eus_m8SVB544QuvW4xbyLFdvrR,last_debt_investment_days,latest,3437.0,debt,day,"Days since last debt investment, null if not applicable",6.309432152969171,Z-score,last_debt_investment_days
eus_73PS2Lb9phZqsQ3YjDMX3A,last_debt_investment_days,latest,2008.0,debt,day,"Days since last debt investment, null if not applicable",3.39742570134328,Z-score,last_debt_investment_days
eus_kpeoR2sqGhBYgCyoeQbRWk,last_debt_investment_days,latest,2484.0,debt,day,"Days since last debt investment, null if not applicable",4.367415254159182,Z-score,last_debt_investment_days
eus_Jp86tR5T9khP3kRoh6svts,last_debt_investment_days,latest,1842.0,debt,day,"Days since last debt investment, null if not applicable",3.059152033764625,Z-score,last_debt_investment_days
