heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,iqr_distance,outlier_score,outlier_method,metric_name
eus_aevWDqEJEXAC69bMUqXDWB,last_debt_investment,latest,25000.0,debt,amount,"Amount of last debt investment, null if not applicable",5.251007525315075,5.251007525315075,IQR,last_debt_investment
eus_Lb5P9Sh5ndchdQoL4nPQAE,last_debt_investment,latest,20000.0,debt,amount,"Amount of last debt investment, null if not applicable",4.0007676383352955,4.0007676383352955,IQR,last_debt_investment
eus_avb47hn3MaRgBTBNFxob8L,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",11.502206960213973,11.502206960213973,IQR,last_debt_investment
eus_aJx4YDv3kCm93fRbRwdhyd,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",11.502206960213973,11.502206960213973,IQR,last_debt_investment
eus_JmPbN6nWLS2oS9XcoRhMeY,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",11.502206960213973,11.502206960213973,IQR,last_debt_investment
eus_fKJBfNT7CB4bV5oJJyTu8b,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",11.502206960213973,11.502206960213973,IQR,last_debt_investment
eus_4dheJbnAJWtPvL3gk9XQek,last_debt_investment,latest,15583.33,debt,amount,"Amount of last debt investment, null if not applicable",2.8963882380098984,2.8963882380098984,IQR,last_debt_investment
eus_JGWAtbjWFUYCrAF52rFdP9,last_debt_investment,latest,18529.05,debt,amount,"Amount of last debt investment, null if not applicable",3.632959565984714,3.632959565984714,IQR,last_debt_investment
eus_W7Ngrrz2NLLB6yh6etb22n,last_debt_investment,latest,10000.0,debt,amount,"Amount of last debt investment, null if not applicable",1.5002878643757358,1.5002878643757358,IQR,last_debt_investment
eus_Ygrn9HsoNCqeaJVDVPf84m,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",11.502206960213973,11.502206960213973,IQR,last_debt_investment
eus_2FQdAuX3WkhgjAkdCyNmPK,last_debt_investment,latest,20833.0,debt,amount,"Amount of last debt investment, null if not applicable",4.2090576035061265,4.2090576035061265,IQR,last_debt_investment
eus_h5DrB5mQEVUtZ38bs7sDzC,last_debt_investment,latest,15000.0,debt,amount,"Amount of last debt investment, null if not applicable",2.7505277513555155,2.7505277513555155,IQR,last_debt_investment
eus_muQ63CiyZorvBMsyMLsVUY,last_debt_investment,latest,14897.5,debt,amount,"Amount of last debt investment, null if not applicable",2.72489783367243,2.72489783367243,IQR,last_debt_investment
