heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,outlier_score,outlier_method,metric_name
eus_avb47hn3MaRgBTBNFxob8L,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_aJx4YDv3kCm93fRbRwdhyd,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_JmPbN6nWLS2oS9XcoRhMeY,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_fKJBfNT7CB4bV5oJJyTu8b,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_Ygrn9HsoNCqeaJVDVPf84m,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_mpEDESSAAgK5eg3PiPPzqX,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_SE5vMgKw3UeDXRQCRLa7aV,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_8baSmLak35Gqa4RGQTNfcn,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_WQT7NNsuuuVkDmcy7Fqrf7,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_mLhNtvsJZfbEZHPSsktJAj,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_cRacRFEfeZ6iRkVbyiYTpz,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_MuEwbUdTRUZH5AbunkHgGZ,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_YwAk8Usji2jfrtWji4QoDJ,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_cyRqYTYLQy4kdjXSnQofPQ,last_debt_investment,latest,49900.0,debt,amount,"Amount of last debt investment, null if not applicable",3.2886307902958243,Z-score,last_debt_investment
eus_C2Cnp2KKiQ6zXP9LzdgFG4,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_FRkH4FrnEpTsigH4xewHTA,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_StirsLibxeJ94sUm2s3QzX,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_N8g8cfWwt9TjPCVSdpNxtg,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_aTKn4v7L9hFqnRTznC4FVD,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_cFTa6dWJVEtmuGqJd5HG7G,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_GBAVKL878ohDxzApaDXH2E,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_7KgGJ4VJ2dbC5JaVgYodCc,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_KMmwVuRAp2ZQsb6PxfKkR5,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_CQFYhtFyYPfKDBXdgX96sN,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_ZJ5hdiAZ5LVLkkzGFm9qwF,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_aaVDyY5XzDZjBqyqSjUn8A,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_eEJpL6qCz7Hihjjjwz73wX,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_4rejW2FexfJ9dQps5BAgk4,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_JT5Z6yUWFw4DTg23Tpv5oE,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_KSVMv6MiMMfgQdrFLSAGD6,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_hheUpytFUzEYjJAcVgAPyp,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_U7UekAovyz4YKGnhX2HaAJ,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_j25fckxHYhBHT2PS2tSAqC,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_f8ozjLpwUnHiK3CVFBQMms,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_6wGjKWST5mXPTFtRbqsNfA,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_aAzLbA3A5jNDYzhJnzhrzq,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_bRXkjvrSGNiu89gXHDfn3t,last_debt_investment,latest,75000.0,debt,amount,"Amount of last debt investment, null if not applicable",5.1761030496526885,Z-score,last_debt_investment
eus_4seuBk4fsmi3oGnbVxuKuC,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_CRW7BeqiX9W34L2iAdVecw,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
eus_eKZFXiba6YV8mSMK8HUegZ,last_debt_investment,latest,46295.0,debt,amount,"Amount of last debt investment, null if not applicable",3.01754164706947,Z-score,last_debt_investment
eus_oAqcdLkkV48GZgnN7FPznF,last_debt_investment,latest,50000.0,debt,amount,"Amount of last debt investment, null if not applicable",3.296150600094059,Z-score,last_debt_investment
